contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),SDH/OH/HELMONDSE BELANGEN/LH,VVD,SP (Socialistische Partij),HELDER HELMOND,GROENLINKS,Democraten 66 (D66),Helmond Aktief,ChristenUnie,Senioren 2013
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WOONZORGCENTRUM DE  AMEIDE,0794::SB101,5701 ZZ,2328,1210,12,14,0,1,0,1060,177,0,0,0,1,0,0,1237,230,148,217,65,183,113,37,69,75,11,62
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS BREDE SCHOOL DE FONKEL,0794::SB102,5701 VL,1683,1042,7,12,0,0,0,842,219,0,0,0,0,0,0,1061,212,211,75,46,141,71,87,106,53,16,24
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau STADSKANTOOR HELMOND,0794::SB103,5701 NV,2153,674,3,2,0,1,0,594,84,0,0,1,0,0,0,678,131,54,89,72,131,66,25,37,34,2,33
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau VALKENNEST (BETHLEHEMKERK),0794::SB104,5702 PJ,1734,881,3,4,0,1,0,796,93,0,0,0,1,0,0,889,175,46,84,63,168,156,43,44,42,3,57
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau STADSWINKEL,0794::SB105,5707 BX,1560,573,2,3,0,0,0,528,50,0,0,0,0,0,0,578,112,40,54,102,92,19,31,49,33,2,39
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau THEO DRIESSEN INSTITUUT,0794::SB106,5701 BC,2590,753,2,1,0,0,0,632,124,0,0,0,0,0,0,756,65,117,85,38,137,108,65,67,42,6,23
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WOONZORGCENTRUM DE EEUWSELS,0794::SB201,5702 HW,1424,624,4,2,0,0,0,558,72,0,0,0,0,0,0,630,83,48,95,28,149,69,27,25,38,10,52
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKCENTRUM DE BOERDERIJ,0794::SB203,5702 JD,1860,850,8,6,0,0,0,776,88,0,0,0,0,0,0,864,164,58,99,42,203,109,49,43,41,9,33
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKCENTRUM DE TERP,0794::SB204,5702 TX,2156,509,3,4,0,0,0,425,91,0,0,0,0,0,0,516,41,82,105,15,98,60,17,23,36,7,25
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau ZORGBOOGCENTRUM DE PANNEHOEVE,0794::SB205,5702 BA,2018,740,7,3,0,1,0,638,111,0,0,1,0,0,0,749,92,69,111,34,189,86,33,25,40,10,51
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau PRAKTIJKSCHOOL HELMOND,0794::SB302,5703 GR,2128,839,9,11,0,1,0,745,113,0,0,1,0,0,0,858,133,82,101,57,155,110,41,46,63,6,45
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS DE LIER,0794::SB303,5703 BW,2035,745,8,3,0,0,0,669,87,0,0,0,0,0,0,756,84,71,97,24,214,86,30,20,49,10,60
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau STEUNPUNT  ROZENHOF,0794::SB305,5701 GB,2011,736,4,5,0,0,0,627,119,0,1,0,1,0,0,746,91,110,81,38,183,74,30,28,32,12,57
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS DE BREM,0794::SB401,5709 BT,2101,874,4,1,0,0,0,766,113,0,0,0,0,0,0,879,49,60,90,53,260,96,44,52,58,47,65
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKHUIS DE BREM,0794::SB403,5709 BT,2620,710,9,1,0,0,0,623,97,0,0,0,0,0,0,720,43,58,69,48,206,74,45,44,27,54,42
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau O.B.S. DE RAKT,0794::SB404,5709 HD,1732,653,5,3,0,0,0,562,98,0,0,1,0,0,0,660,46,67,82,44,177,82,23,28,37,24,43
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKCENTRUM PARKZICHT,0794::SB405,5709 PZ,1763,985,5,2,0,0,0,858,134,0,0,0,0,0,0,992,192,60,78,264,75,76,57,99,26,24,34
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau WIJKCENTRUM PARKZICHT,0794::SB406,5709 PZ,1911,1176,1,0,0,0,0,1004,73,0,0,0,0,0,0,1177,193,70,79,314,117,84,45,163,49,28,34
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau BUURTHUIS ST ANNA,0794::SB501,5705 AM,1501,590,6,1,0,0,0,534,63,0,0,0,0,0,0,597,89,34,54,60,122,95,25,53,28,9,21
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau GEMEENSCHAPSHUIS DE LOOP,0794::SB502,5704 AP,1943,985,6,4,0,0,0,863,132,0,0,0,0,0,0,995,89,55,101,105,224,110,83,67,57,30,64
,Helmond,GR2014_Helmond,Gemeenteraad Helmond 2014,0794,Helmond,2014-03-19,Stembureau STEUNPUNT BROUWHORST,0794::SB503,5709 AA,1419,419,0,4,0,0,0,390,33,0,0,0,0,0,0,423,60,38,45,28,90,38,20,28,22,20,30
