contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),ieders Belang,CDA,SP (Socialistische Partij),GROENLINKS,D66,Verenigde Senioren Partij,ChristenUnie,Stadspartij Núwegein
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Stadshuis,0356::SB1,3431 LZ,1250,1008,4,5,0,0,0,927,90,0,0,0,0,0,0,1017,167,125,116,75,180,49,107,78,43,68
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Obs de Schakel,0356::SB2,3431 AC,2055,586,2,2,0,0,0,541,49,0,0,0,0,0,0,590,61,73,94,61,85,14,64,71,33,30
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Emmauskerk,0356::SB3,3435 CC,1439,417,1,0,0,0,0,371,47,0,0,0,0,0,0,418,75,45,47,31,54,16,50,51,31,17
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurthuis Kerkveld,0356::SB5,3431 EC,1851,959,1,3,0,0,0,882,81,0,0,0,0,0,0,963,145,82,126,121,154,48,110,100,44,29
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1162,495,4,0,0,0,0,444,55,0,0,0,0,0,0,499,71,49,57,69,68,36,48,42,38,17
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Verzorgingshuis Zuilenstein,0356::SB7,3438 XX,1195,706,1,1,0,0,0,641,67,0,0,0,0,0,0,708,73,81,107,91,107,20,67,81,44,35
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau RK basisschool Vroonestein,0356::SB8,3438 RA,1197,656,0,1,0,0,0,587,70,0,0,0,0,0,0,657,118,72,97,60,136,21,72,27,26,27
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau De Cimbaal,0356::SB9,3438 DA,1160,497,0,0,0,0,0,441,56,0,0,0,0,0,0,497,61,64,80,62,89,21,62,25,14,19
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1180,499,0,0,0,0,0,439,60,0,0,0,0,0,0,499,103,37,94,48,84,17,58,31,11,16
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Kinderdagverblijf De Toverfluit,0356::SB11,3437 XB,1129,557,0,1,0,0,0,499,59,0,0,0,0,0,0,558,117,47,101,51,56,19,69,53,22,22
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau PC bs Pr.Margriet locatie Noord I,0356::SB12,3437 CA,1320,672,1,1,0,0,0,606,68,0,0,0,0,0,0,674,142,56,87,82,85,20,85,58,35,22
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau PC bs Pr.Margriet locatie Noord II,0356::SB13,3437 CA,1439,622,3,1,0,0,0,563,63,0,0,0,0,0,0,626,121,51,71,70,101,35,84,41,33,15
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurtplein Batau,0356::SB15,3437 AA,1364,750,1,4,0,0,0,671,84,0,0,0,0,0,0,755,76,98,105,60,163,27,71,83,41,26
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,"Stembureau PC bs Pr.Margriet, locatie Zuid",0356::SB16,3436 GB,1751,645,3,1,0,0,0,581,68,0,0,0,0,0,0,649,123,46,117,65,86,25,69,51,43,20
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Openbare basisschool De Meander,0356::SB17,3436 GE,1690,818,2,0,0,0,0,745,75,0,0,0,0,0,0,820,151,76,88,79,113,55,133,50,34,39
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Openbare basisschool De Krullevaar,0356::SB18,3435 BZ,1201,715,5,2,0,0,0,643,79,0,0,0,0,0,0,722,106,95,99,57,109,47,100,50,25,27
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurtplein Doorslag,0356::SB19,3435 EP,1170,659,0,3,0,0,0,597,65,0,0,0,0,0,0,662,79,61,60,92,95,34,86,74,42,36
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Scholengemeenschap Anna van Rijn,0356::SB20,3435 XA,1202,652,1,1,0,0,0,596,58,0,0,0,0,0,0,654,60,72,96,52,89,52,75,81,41,34
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Daltonschool Uniq-Deldenseschans 2,0356::SB21,3432 XW,1587,688,1,3,0,0,0,601,91,0,0,0,0,0,0,692,125,85,98,32,107,44,72,37,49,39
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Wijkhuis De Steeg,0356::SB23,3432 TK,1741,689,2,1,0,0,0,637,55,0,0,0,0,0,0,692,72,81,78,57,146,49,71,46,53,36
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Jenaplanschool De Zuiderkroon,0356::SB24,3432 SZ,1177,664,4,0,0,0,0,600,68,0,0,0,0,0,0,668,94,71,97,56,103,52,56,56,37,42
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau PC basisschool Maurits,0356::SB25,3434 CA,1238,624,2,1,0,0,0,546,81,0,0,0,0,0,0,627,70,39,99,46,92,37,70,55,88,28
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurtplein Zuid,0356::SB26,3434 EW,1537,748,7,2,0,0,0,681,76,0,0,0,0,0,0,757,75,75,120,64,130,58,67,67,61,31
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Kerkelijk Centrum De Rank,0356::SB27,3434 HA,1365,702,0,1,0,0,0,622,81,0,0,0,0,0,0,703,86,50,139,52,113,44,53,73,66,26
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Verzorgingshuis Vreeswijk,0356::SB28,3434 GL,1387,676,0,4,0,0,0,610,70,0,0,0,0,0,0,680,116,55,73,97,69,26,73,88,51,28
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau SKPON/voorheen Kompas,0356::SB29,3433 EH,908,505,0,2,0,0,0,456,51,0,0,0,0,0,0,507,94,28,43,43,53,27,67,47,87,16
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurthuis Vreeswijk,0356::SB30,3433 ZZ,893,517,2,0,0,0,0,456,63,0,0,0,0,0,0,519,59,39,60,48,73,27,55,61,82,13
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurtcentrum De Boog II,0356::SB31,3437 JT,602,568,1,2,0,0,0,512,59,0,0,0,0,0,0,571,82,60,70,56,81,23,71,84,18,23
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau PC Basisschool Kon. Juliana,0356::SB32,3437 KB,1859,654,0,3,0,0,0,583,74,0,0,0,0,0,0,657,135,73,101,64,58,25,76,62,37,23
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Buurtcentrum De Boog I,0356::SB33,3437 JT,602,507,3,0,0,0,0,454,56,0,0,0,0,0,0,510,111,41,57,50,74,22,64,50,16,22
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,"Stembureau Gemeenschapsruimte ""boerderij Bos""",0356::SB34,3437 KN,1177,682,2,1,0,0,0,617,68,0,0,0,0,0,0,685,128,73,87,68,76,24,106,79,25,16
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,"Stembureau Sporthal ""Galecop""",0356::SB35,3437 KB,1510,491,1,0,0,0,0,439,53,0,0,0,0,0,0,492,112,47,76,52,48,19,55,32,20,30
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Merwestein,0356::SB36,3432 GH,1213,469,3,1,0,0,0,430,43,0,0,0,0,0,0,473,86,50,38,33,81,21,57,57,20,26
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Voetbalvereniging JSV Nieuwegein,0356::SB37,3438 HX,1221,384,0,0,0,0,0,334,50,0,0,0,0,0,0,384,82,47,62,39,50,21,43,16,12,12
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Basisschool De Toonladder Galecop,0356::SB38,3437 PJ,1651,651,3,0,0,0,0,576,78,0,0,0,0,0,0,654,157,62,84,56,84,18,102,47,25,16
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Scholengemeenschap Anna van Rijn,0356::SB39,3438 ED,1207,395,3,1,0,0,0,350,50,0,1,0,1,0,0,400,76,42,51,38,42,23,61,25,20,17
,Nieuwegein,GR2014_Nieuwegein,Gemeenteraad Nieuwegein 2014,0356,Nieuwegein,2014-03-19,Stembureau Prins Hendrik Internaat,0356::SB41,3433 NL,1050,461,4,0,0,0,0,415,50,0,0,0,0,0,0,465,77,31,59,41,64,13,45,56,67,8
