contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Heeze-Leende,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),De Partij Voor Oud en Jong
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Nicasius Woonzorgcentrum,1658::SB1,5591 GK,1298,690,6,1,0,0,0,634,63,0,0,0,0,0,0,697,173,166,148,60,70,73
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Handboogvereniging Rozen van Oranje,1658::SB2,5591 GH,1252,492,6,0,0,0,0,449,49,0,0,0,0,0,0,498,95,98,134,72,47,46
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Gemeentehuis,1658::SB3,5591 HS,1286,934,8,3,0,0,0,855,90,0,0,0,0,0,0,945,235,187,222,95,95,100
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Kindcentrum De Parel,1658::SB4,5591 BM,1309,911,3,1,0,0,0,836,79,0,0,0,0,0,0,915,180,242,192,85,87,125
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Heemkundekring de Heerlijkheid HLZ,1658::SB5,5591 NE,1305,847,10,0,0,0,0,778,79,0,0,0,0,0,0,857,132,217,163,136,95,104
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Basisschool De Trumakkers,1658::SB6,5591 NG,1313,661,7,2,0,0,0,601,69,0,0,0,0,0,0,670,96,180,172,79,56,78
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Gemeenschapshuis De Meent,1658::SB7,5595 CM,1141,800,1,7,0,0,0,712,96,0,0,0,0,0,0,808,303,135,107,94,49,112
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Basisschool Sint Jan,1658::SB8,5595 GN,1148,357,2,0,0,0,0,324,35,0,0,0,0,0,0,359,168,40,48,55,25,21
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Zorgcentrum Leenderhof,1658::SB9,5595 EP,1154,828,14,1,0,0,0,739,104,0,0,0,0,0,0,843,227,137,190,105,58,111
,Heeze-Leende,GR2014_HeezeLeende,Gemeenteraad Heeze-Leende 2014,1658,Heeze-Leende,2014-03-19,Stembureau Dorpshuis Valentijn,1658::SB10,6029 RJ,1153,532,7,3,0,0,0,475,67,0,0,0,0,0,0,542,213,97,76,62,44,40
