contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VV2000/Leefbaar Vlaardingen,VVD,CDA,GROENLINKS,SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie/SGP,StadsBelangen Vlaardingen,Trots,Algemeen Ouderen Verbond (AOV),ONS Vlaardingen,LokaalVlaardingen
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Grote Kerk,0622::SB1,3131 CR,1420,794,2,4,0,2,0,709,89,0,0,2,0,0,0,798,80,105,39,46,78,107,84,40,51,28,28,92,16
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Heilige Lucaskerk,0622::SB2,3131 BN,1293,630,3,0,0,0,0,563,70,0,0,0,0,0,0,633,57,80,59,46,28,79,68,39,74,5,25,61,9
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Kerkgebouw de Fontein,0622::SB3,3131 GD,1602,636,0,1,0,0,0,581,56,0,0,0,0,0,0,637,59,96,30,29,43,111,45,44,40,23,43,63,10
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Rehobothkerk,0622::SB4,3131 LL,1531,816,1,5,0,0,0,736,86,0,0,0,0,0,0,822,65,94,76,67,41,108,47,90,41,20,52,100,15
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Zorgcentrum Soenda,0622::SB5,3131 LV,1620,1050,3,0,0,1,0,962,92,0,0,0,1,0,0,1054,96,150,46,95,43,123,65,132,45,12,82,110,51
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Bibliotheek Centrum,0622::SB6,3131 CS,1403,648,2,1,0,0,0,581,71,0,0,0,1,0,0,652,66,93,43,34,38,112,57,23,25,13,53,74,17
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Buurthuis de Pijpelaar,0622::SB7,3131 EV,1939,768,3,6,0,1,0,680,98,0,0,0,1,0,0,778,103,122,36,31,47,127,47,59,42,22,29,85,18
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Basisschool Het Visnet,0622::SB8,3131 PS,1829,626,4,3,0,0,0,570,63,0,0,0,0,0,0,633,94,112,22,12,54,112,29,23,20,26,31,83,8
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Wooncentrum De Bolder,0622::SB9,3133 BK,747,419,1,0,0,0,0,383,37,0,0,0,0,0,0,420,44,38,34,32,6,51,14,28,22,15,70,60,5
,Vlaardingen,GR2014_Vlaardingen,Gemeenteraad Vlaardingen 2014,0622,Vlaardingen,2014-03-19,Stembureau Zorgcentrum de Wetering,0622::SB10,3132 JB,1730,633,3,1,0,2,0,570,69,0,0,0,2,0,0,639,57,73,29,59,29,93,40,66,13,15,71,83,5
