contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,GROENLINKS,Stadspartij Leiden Ontzet,Leefbaar Leiden,ChristenUnie,Partij voor de Dieren,Libertarische Partij (LP),Partij van Tegenwoordig,(PS) Partij Sleutelstad
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Stadhuis,0546::SB1,,1547,1662,6,8,0,0,0,1591,85,0,0,0,0,0,0,1676,619,163,246,142,107,195,25,47,38,49,4,13,14
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Rijksmuseum van Oudheden,0546::SB2,,1860,1801,10,3,0,2,0,1719,93,0,0,2,0,0,0,1812,691,152,284,114,119,236,23,32,71,57,5,6,11
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Regionaal Archief Leiden,0546::SB3,,1562,833,4,0,1,0,0,773,63,0,0,1,0,0,0,836,274,80,147,78,59,113,11,19,13,21,4,7,7
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau 't Huis op de Waard,0546::SB4,,1667,702,3,4,0,6,0,651,52,0,0,6,0,0,0,703,182,80,97,107,35,80,21,35,21,36,1,2,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau De Meelbox (Nw Groenhoven),0546::SB5,,1351,443,3,2,0,4,0,416,28,0,0,4,0,0,0,444,126,50,31,86,20,51,19,20,10,17,1,5,7
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Leger des Heils,0546::SB6,,1830,924,5,4,1,0,0,876,56,0,0,1,0,0,0,932,359,82,96,109,60,117,20,16,25,25,2,5,8
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Hooglandse Huys,0546::SB7,,1627,834,2,2,0,2,0,798,42,0,0,0,2,0,0,840,268,77,119,63,72,113,15,12,55,25,4,6,5
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Hooglandse Huys,0546::SB8,,1716,595,4,1,0,0,0,574,26,0,0,0,0,0,0,600,205,47,74,54,44,77,13,16,29,20,6,7,3
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Woningcorporatie De Sleutels,0546::SB9,,1880,937,5,5,0,1,0,875,73,0,0,0,1,0,0,948,263,97,124,121,59,100,38,44,22,43,2,18,6
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Marehuis,0546::SB10,,1559,973,4,0,0,0,0,914,63,0,0,0,0,0,0,977,345,89,158,78,62,98,25,27,41,29,1,11,9
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Het Leidse Volkshuis,0546::SB11,,1320,672,4,2,0,0,0,637,41,0,0,0,0,0,0,678,233,51,129,58,43,70,18,20,9,28,2,8,3
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Morspoortkazerne,0546::SB12,,1800,963,11,0,0,0,0,897,77,0,0,0,0,0,0,974,285,96,94,142,50,146,19,25,37,49,2,6,12
,Leiden,GR2014_Leiden,Gemeenteraad Leiden 2014,0546,Leiden,2014-03-19,Stembureau Speeltuinvereniging Morschkwartier,0546::SB13,,1397,986,3,3,0,0,0,893,98,0,0,1,0,0,0,991,238,113,104,124,74,135,14,99,41,41,0,0,3
