contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SGP/ChristenUnie,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),EVB (Echt voor Barendrecht)
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 01 Gemeentehuis,0489::SB1,2991 AA,1122,881,5,3,0,0,0,796,94,0,1,0,1,0,0,890,136,138,127,75,45,81,279
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 02 Triomfatorkerk,0489::SB2,2991 CH,1672,1142,7,1,0,0,0,1025,125,0,0,0,0,0,0,1150,154,222,134,61,85,176,310
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 03 trouwzaal De Watertoren,0489::SB3,2992 BE,1045,641,0,0,0,0,0,574,67,0,0,0,0,0,0,641,72,118,141,29,26,64,191
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 04 Café ""'t Schaapje""",0489::SB4,2993 BG,1336,621,3,4,0,0,0,556,72,0,0,0,0,0,0,628,109,122,49,56,24,109,152
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 05 basisschool ""De Draaimolen""",0489::SB5,2992 DN,2173,1197,4,3,1,0,0,1090,113,0,0,1,0,0,0,1203,157,219,179,74,42,149,377
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 06 basisschool ""De Dubbeldekker""",0489::SB6,2991 RK,794,390,3,2,0,0,0,362,33,0,0,0,0,0,0,395,46,81,42,43,23,47,108
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 07 Immanuelkerk,0489::SB7,2992 GG,1481,935,4,1,0,0,0,831,109,0,0,0,0,0,0,940,145,184,188,58,16,98,246
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 08 Woonzorgcentrum ""Borgstede""",0489::SB8,2991 HP,1383,774,4,5,0,0,0,713,70,0,0,0,0,0,0,783,65,166,122,57,40,68,256
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,Stembureau 09 Bethelkerk,0489::SB9,2992 SG,1555,849,0,0,0,0,0,767,82,0,0,0,0,0,0,849,76,179,231,35,31,58,239
,Barendrecht,GR2014_Barendrecht,Gemeenteraad Barendrecht 2014,0489,Barendrecht,2014-03-19,"Stembureau 10 gebouw ""De Baerne""",0489::SB10,2991 GA,1284,938,3,8,0,0,0,836,113,0,0,0,0,0,0,949,108,166,157,60,37,105,305
