contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),GEMEENTEBELANGEN WINSUM,CDA,VVD,ChristenUnie,GROENLINKS,Democraten 66 (D66)
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Gemeentehuis Winsum,0053::SB1,9951 AC,783,442,4,2,0,0,0,414,34,0,0,0,0,0,0,448,74,123,68,25,82,46,24
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Winkheem,0053::SB2,9951 BG,848,514,6,2,0,0,0,474,48,0,0,0,0,0,0,522,86,128,115,34,76,33,42
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Sportschool Veldwijk,0053::SB3,9951 TD,1124,868,6,4,0,0,0,793,86,0,1,0,1,0,0,879,149,208,124,86,135,64,102
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Dorpshuis Agricola,0053::SB4,9953 PH,891,690,7,1,0,0,0,636,62,0,0,0,0,0,0,698,97,211,138,83,71,44,46
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Wessel Gansfortcollege,0053::SB5,9951 HX,1031,717,4,2,0,0,0,657,66,0,0,0,0,0,0,723,95,204,68,43,170,45,92
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau De Hoogte Zalenverhuur,0053::SB6,9951 EP,933,675,8,2,0,0,0,616,69,0,0,0,0,0,0,685,163,216,64,33,89,46,64
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Sporthal Ripperdahal,0053::SB7,9951 JH,1008,566,8,2,0,0,0,526,50,0,0,0,0,0,0,576,111,137,52,37,86,76,67
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,"Stembureau ""Op Streek""",0053::SB8,9956 PN,440,267,0,5,0,0,0,241,31,0,0,0,0,0,0,272,39,59,21,32,11,90,15
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Dorpshuis Schleurholtshuus,0053::SB9,9891 AC,915,491,5,2,0,0,0,451,47,0,0,0,0,0,0,498,76,63,121,47,29,103,52
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Viskenij Wooncentrum,0053::SB10,9953 PW,828,436,1,0,0,0,0,396,41,0,0,0,0,0,0,437,63,129,127,30,52,17,18
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,Stembureau Kromme Akkers,0053::SB11,9893 PD,369,260,2,2,1,0,0,236,27,0,0,1,0,0,0,263,39,50,24,21,27,79,20
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,"Stembureau ""Ubbegaheem""",0053::SB12,9771 BB,955,684,2,2,0,0,0,617,71,0,0,0,0,0,0,688,51,93,138,37,229,96,40
,Winsum,GR2014_Winsum,Gemeenteraad Winsum 2014,0053,Winsum,2014-03-19,"Stembureau ""Artharpe""",0053::SB13,9774 PH,528,341,5,1,0,0,0,331,16,0,0,0,0,0,0,347,68,52,34,40,17,92,38
