contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heiloo-2000,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Nieuwe Communistische Partij - NCPN,Democraten 66 (D66)
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,Stembureau Gemeentehuis Heiloo,0399::SB1,1851 JL,2049,1408,6,3,0,0,0,1272,145,0,0,0,0,0,0,1417,341,330,187,161,131,258
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau Basisschool ""Paulus""",0399::SB2,1851 ZC,1416,830,1,1,0,0,0,754,78,0,0,0,0,0,0,832,260,133,104,94,112,127
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau Basisschool ""de Springschans""",0399::SB3,1851 MA,2052,1416,1,0,0,0,0,1287,130,0,0,0,0,0,0,1417,423,233,207,178,179,196
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,Stembureau Bowling Heiloo,0399::SB4,1851 ND,1311,751,1,2,0,0,0,680,74,0,0,0,0,0,0,754,214,121,122,89,84,121
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau Wijkgebouw ""Ypsalon""",0399::SB5,1851 ZC,1983,1027,1,3,0,0,0,938,96,0,0,0,3,0,0,1034,331,229,127,104,79,157
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,Stembureau Jan van Rijckenborghschool,0399::SB6,1852 CC,2244,1385,3,2,2,0,0,1266,126,0,0,0,2,0,0,1392,350,278,226,154,115,262
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau Zorgcentrum ""Overkerck""",0399::SB7,1852 LN,1865,1309,5,3,0,0,0,1227,90,0,0,0,0,0,0,1317,382,171,285,165,129,177
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau Basisschool ""Elckerlyc""",0399::SB8,1852 WS,1957,1173,8,2,0,0,0,1085,103,0,0,0,5,0,0,1188,340,174,133,169,149,208
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,Stembureau De Benedictusschool,0399::SB9,1851 CK,1390,875,3,0,0,0,0,811,67,0,0,0,0,0,0,878,221,183,152,100,76,143
,Heiloo,GR2014_Heiloo,Gemeenteraad Heiloo 2014,0399,Heiloo,2014-03-19,"Stembureau R.K. Basisschool ""Willibrord""",0399::SB10,1852 WS,1714,982,1,4,0,0,0,910,77,0,0,0,0,0,0,987,307,161,116,140,110,148
