contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Leefbaar Rotterdam,VVD,Democraten 66 (D66),GROENLINKS,CDA,SP (Socialistische Partij),ChristenUnie-SGP,Partij voor de Dieren,Rotterdamse Ouderen Partij (ROP),OPA Rotterdam,Nida Rotterdam,Libertarische Partij (LP),Seniorenpartij Rotterdam,Lijst Van Gerdingen,Rotterdams Turks Belang,Regionaal Lokaal
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Coolsingel 40 (links),0599::SB1,3011 AD,1116,996,5,8,0,0,0,927,97,0,0,0,15,0,0,1024,134,260,105,229,62,64,72,19,27,7,3,7,2,5,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Goudseweg 17 (links),0599::SB2,3031 XH,1620,565,5,3,2,0,0,515,56,0,0,2,0,0,0,571,93,160,41,90,18,16,72,9,22,3,0,37,0,3,0,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Raampoortstraat 15 (links),0599::SB3,3032 AH,1458,372,1,10,2,0,0,336,49,0,0,0,2,0,0,385,73,73,21,57,35,19,43,8,6,2,0,32,1,2,0,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Looiershof 1 (links),0599::SB4,3024 CZ,1312,612,4,6,0,0,0,559,66,0,0,3,0,0,0,625,124,111,31,120,58,26,73,21,13,2,2,24,3,1,0,3,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Springerstraat 340,0599::SB5,3067 CX,1653,944,4,5,0,0,0,944,0,0,0,9,0,0,0,944,125,301,38,64,30,97,91,137,16,11,9,0,4,19,2,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Cypruslaan 404 (links),0599::SB6,3059 XA,1418,846,1,1,0,1,0,735,112,0,0,1,0,0,0,847,87,339,139,91,12,45,63,29,9,10,0,4,1,5,12,0,0
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Anna van Westrienenstraat 1,0599::SB7,3038 SX,1670,712,6,2,0,0,0,665,55,0,0,0,0,0,0,720,96,163,35,186,52,30,76,8,22,5,3,22,3,7,2,1,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Bergsingel 152 (links),0599::SB8,3037 GM,1268,769,4,7,0,1,0,726,55,0,0,0,1,0,0,781,105,132,52,176,89,37,89,29,24,5,1,21,2,3,1,2,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Cole Porterstraat 2,0599::SB9,3069 ZD,1528,734,1,0,0,2,0,678,59,0,0,0,2,0,0,737,85,291,57,89,32,35,75,18,24,10,4,0,2,1,10,0,1
,Rotterdam,GR2014_Rotterdam,Gemeenteraad Rotterdam 2014,0599,Rotterdam,2014-03-19,Stembureau Schiedamse Vest 188 (links),0599::SB10,3011 BH,1360,508,1,2,0,0,0,466,46,0,1,0,1,0,0,512,68,90,59,142,40,23,45,9,13,1,1,9,1,4,1,2,0
