contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,ProTiel,CDA,Democraten 66 (D66),GROENLINKS,Partij Van De Burgers,ChristenUnie,Sociaal Tiel
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Ambtmanshuis,0281::SB1,4001 MC,2407,1163,5,4,0,0,0,1044,128,0,0,0,0,0,0,1172,208,172,59,114,196,52,264,46,52
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Verenigingsgebouw AVGN,0281::SB2,4001 WJ,1998,887,3,1,0,0,0,779,112,0,0,0,0,0,0,891,161,97,61,90,155,43,196,39,45
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Zorgcentrum Walstede,0281::SB3,4001 HE,1571,814,1,9,0,0,0,745,79,0,0,0,0,0,0,824,101,145,31,130,160,36,128,34,49
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Verenigingsgebouw KTVM,0281::SB4,4001 HZ,2011,721,3,6,0,0,0,645,84,0,0,1,0,1,0,729,113,73,57,50,143,45,134,32,74
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Centrum Oosthonk,0281::SB5,4005 VR,1940,860,0,3,0,0,0,749,114,0,0,0,0,0,0,863,128,108,94,47,160,65,168,35,55
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Woonzorgcentrum De Vier Gravinnen,0281::SB6,4001 RZ,2519,1107,5,13,0,0,0,934,191,0,0,0,0,0,0,1125,324,82,100,129,176,51,134,43,68
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Verenigingsgebouw TKV,0281::SB7,4005 VV,1744,600,1,3,0,0,0,536,68,0,0,0,0,0,0,604,83,94,44,63,106,22,132,20,36
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Vrijthof,0281::SB8,4003 CA,1748,913,3,3,0,2,0,823,98,0,0,0,2,0,0,921,117,162,39,134,221,48,102,42,48
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Serviceflat De Batouwe,0281::SB9,4006 AG,1638,967,3,2,0,0,0,835,137,0,0,0,0,0,0,972,297,64,77,130,137,40,129,43,50
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Zorgcentrum Lingewaarde,0281::SB10,4002 AG,1745,988,1,5,0,0,0,873,121,0,0,0,0,0,0,994,153,152,38,147,199,48,129,43,79
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Centrum Westroyen,0281::SB11,4003 AL,1601,748,1,1,0,0,0,672,78,0,0,0,0,0,0,750,162,52,53,78,135,26,142,38,62
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Dorpshuis De Kokkenhof,0281::SB12,4014 MA,1418,746,2,5,0,0,0,661,92,0,0,0,0,0,0,753,66,152,16,160,99,25,91,116,21
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Drumptse Hof,0281::SB13,4003 GA,1806,1161,4,2,0,0,0,1056,111,0,0,0,0,0,0,1167,170,236,47,142,245,56,140,55,70
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Verenigingsgebouw Tielse T.C.,0281::SB14,4003 KX,1638,781,1,2,0,0,0,685,99,0,0,0,0,0,0,784,122,115,65,112,157,36,96,41,37
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Eksternest,0281::SB15,4007 VA,2111,1014,1,4,0,0,0,929,90,0,0,0,0,0,0,1019,134,264,94,93,202,34,102,60,31
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau De Waaijer,0281::SB16,4007 TP,2176,1335,5,1,0,0,0,1190,151,0,0,0,0,0,0,1341,185,341,72,152,275,46,136,83,45
,Tiel,GR2014_Tiel,Gemeenteraad Tiel 2014,0281,Tiel,2014-03-19,Stembureau Rotondaschool,0281::SB17,4007 TJ,2262,874,1,1,0,0,0,756,120,0,0,0,0,0,0,876,110,249,48,105,177,34,72,61,18
