contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,VVD,AndersNu,5,Lokaal Peel en Maas
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Gemeentehuis,1894::SB1,5981 CC,2223,1388,7,7,0,0,0,1224,178,0,0,0,0,0,0,1402,479,151,193,88,105,372
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau De Houbereij,1894::SB2,5981 CH,2014,851,3,3,0,0,0,766,91,0,0,0,0,0,0,857,268,115,72,86,60,250
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Zorgcentrum de Wietel,1894::SB3,5981 VW,1949,781,6,2,0,0,0,685,104,0,0,0,0,0,0,789,202,111,77,96,80,215
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Café de Zoes,1894::SB4,5988 EM,2405,1122,10,3,0,0,0,1007,128,0,0,0,0,0,0,1135,285,149,205,112,105,266
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Dorpscentrum Kerkeböske,1894::SB5,5988 NE,2305,1084,9,2,0,0,0,967,128,0,0,0,0,0,0,1095,392,163,130,102,72,225
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau De Wieksjlaag,1894::SB6,5986 AH,1671,917,3,3,0,0,0,826,97,0,0,0,0,0,0,923,592,61,58,39,43,124
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau de Ankerplaats,1894::SB7,5985 PG,1352,585,1,3,0,0,0,521,68,0,0,0,0,0,0,589,232,22,50,20,29,232
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Gemeenschapshuis De Sprunk,1894::SB8,5984 PJ,997,484,2,0,0,0,0,422,64,0,0,0,0,0,0,486,247,57,25,22,17,116
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Gemeenschapshuis 't Erf,1894::SB9,5987 AR,1023,603,0,0,0,0,0,530,73,0,0,0,0,0,0,603,210,43,52,26,24,248
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Niëns Horeca,1894::SB10,5993 AW,1527,721,4,2,0,0,0,625,103,0,1,0,1,0,0,728,344,65,82,113,12,105
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Oud-gemeentehuis Maasbree,1894::SB11,5993 AN,1997,1034,3,1,0,0,0,904,134,0,0,0,0,0,0,1038,427,126,172,134,22,153
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Sociëteit 't Hofje,1894::SB12,5993 EL,1645,895,9,2,0,1,0,798,109,0,0,0,1,0,0,907,473,92,107,99,20,104
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Zorgcentrum Ter Borcht,1894::SB13,5991 AN,2050,1040,6,2,0,1,0,928,121,0,0,0,1,0,0,1049,365,136,159,40,22,318
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Basisschool Panta Rhei,1894::SB14,5991 BN,1475,665,2,2,0,0,0,604,65,0,0,0,0,0,0,669,127,93,90,17,20,318
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Sporthal de Kazing,1894::SB15,5991 PX,1798,897,5,0,0,0,0,796,106,0,0,0,0,0,0,902,226,115,156,25,25,350
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Gemeenschapshuis de Paort,1894::SB16,5995 BB,1199,729,8,2,0,0,0,653,86,0,0,0,0,0,0,739,188,66,92,15,17,351
,Peel en Maas,GR2014_PeelenMaas,Gemeenteraad Peel en Maas 2014,1894,Peel en Maas,2014-03-19,Stembureau Woonzorgcomplex Hof van Kessel,1894::SB17,5995 XZ,1578,766,7,3,0,0,0,682,94,0,0,0,0,0,0,776,207,46,82,16,26,389
