contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lijst Riel-Goirle,CDA,Pro Actief Goirle,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Lijst Couwenberg
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Gemeentehuis Goirle,0785::SB1,5051 LT,1541,1012,7,7,0,0,0,947,79,0,0,0,0,0,0,1026,86,219,191,135,77,239,65
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Woonzorgcentrum Thebe Elisabeth,0785::SB2,5051 HC,1469,564,1,3,0,0,0,501,67,0,0,0,0,0,0,568,43,136,113,43,44,126,59
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau Zorgcentrum  ""Guldenakker""",0785::SB3,5051 GB,1458,800,3,2,0,0,0,748,57,0,0,0,0,0,0,805,109,168,127,73,57,174,92
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau B.S.""Den Bongerd""via Beukengaard",0785::SB4,5052 BL,1434,832,7,1,0,0,0,757,83,0,0,0,0,0,0,840,113,96,210,107,83,185,38
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau B.S.""Den Bongerd""ingang Fr.Driehoek",0785::SB5,5052 BL,1430,584,3,1,0,0,0,537,51,0,0,0,0,0,0,588,87,82,125,64,79,121,26
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau Basisschool ""De Kleine Akkers""",0785::SB6,5051 CR,1517,769,2,1,0,0,0,680,92,0,0,0,0,0,0,772,72,162,156,165,66,116,32
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau Basisschool ""De Regenboog""",0785::SB7,5051 KR,1593,834,8,6,0,0,0,783,65,0,0,0,0,0,0,848,85,174,125,159,94,161,36
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Kantoor Kompaan en De Bocht,0785::SB8,5053 EA,1645,586,3,2,0,0,0,529,62,0,0,0,0,0,0,591,60,106,136,145,53,63,23
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Cultureel Centrum Jan van Besouw,0785::SB9,5051 RJ,1333,642,3,2,0,0,0,597,51,0,0,0,1,0,0,648,78,131,131,64,82,117,39
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Sporthal De Wissel,0785::SB11,5051 NZ,1209,578,5,1,0,0,0,534,50,0,0,0,0,0,0,584,80,79,134,143,45,73,24
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,Stembureau Basisschool 't Schrijverke,0785::SB12,5051 ML,1561,908,8,1,0,0,0,826,91,0,0,0,0,0,0,917,116,152,195,185,88,154,18
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau Ontmoetingscentrum ""De Leybron""",0785::SB13,5133 AM,1014,595,1,0,0,0,0,540,56,0,0,0,0,0,0,596,402,70,22,50,18,30,3
,Goirle,GR2014_Goirle,Gemeenteraad Goirle 2014,0785,Goirle,2014-03-19,"Stembureau Basisschool ""de Vonder""",0785::SB14,5133 TZ,1069,663,2,0,0,0,0,601,64,0,0,0,0,0,0,665,405,97,39,47,23,47,5
