contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,GROENLINKS,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Cultureel Centrum Zuidhorn,0056::SB1,9801 CG,1059,862,6,6,0,0,0,809,65,0,0,0,0,0,0,874,152,204,185,145,78,98
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Gemeentehuis,0056::SB2,9801 AJ,989,857,6,6,0,0,0,791,78,0,0,0,0,0,0,869,125,193,168,141,88,142
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Dörpsstee,0056::SB3,9804 RL,1151,742,10,4,0,0,0,689,67,0,0,0,0,0,0,756,113,218,205,85,50,71
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Zonnehuis locatie Oostergast,0056::SB4,9801 VG,1116,589,3,5,0,0,0,537,60,0,0,0,0,0,0,597,102,163,86,88,74,76
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau O.B.S. De Borgh,0056::SB5,9801 HG,1285,766,7,2,0,0,0,712,63,0,0,0,0,0,0,775,132,163,181,131,54,105
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau De Wierde,0056::SB6,9843 EJ,1087,711,3,1,0,0,0,666,49,0,0,0,0,0,0,715,254,97,181,67,61,51
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Lauwerscollege,0056::SB7,9843 BG,1057,580,5,1,0,0,0,543,43,0,0,0,0,0,0,586,214,80,113,46,93,34
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau 't Bartoleshûs,0056::SB8,9845 AK,282,188,2,3,0,0,0,183,10,0,0,0,0,0,0,193,80,19,33,6,14,36
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis De Wending,0056::SB9,9844 PE,176,123,2,1,0,0,0,121,5,0,0,0,0,0,0,126,30,17,39,13,10,14
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Soltketen,0056::SB10,9881 PA,454,266,10,5,0,0,0,264,17,0,0,0,0,0,0,281,101,34,57,23,22,29
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis 't Schanshuus,0056::SB11,9842 PE,361,241,1,1,0,0,0,220,23,0,0,0,0,0,0,243,82,40,51,20,28,20
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau De Meeden,0056::SB12,9831 RD,773,580,6,3,0,0,0,533,56,0,0,0,0,0,0,589,122,152,106,85,40,75
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau 't Hoge Hof,0056::SB13,9831 RZ,963,529,4,2,0,0,0,500,36,0,1,0,1,0,0,536,142,132,96,84,35,40
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Den Ham,0056::SB14,9833 PB,202,115,2,0,0,0,0,112,5,0,0,0,0,0,0,117,35,22,26,7,16,9
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Hornhuis,0056::SB15,9832 PD,342,198,5,0,0,0,0,181,22,0,0,0,0,0,0,203,50,30,51,27,16,24
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Humsterland,0056::SB16,9883 PE,1118,737,6,0,0,0,0,674,69,0,0,0,0,0,0,743,201,258,96,82,55,45
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Eisseshof,0056::SB17,9884 PC,198,147,2,0,0,0,0,136,13,0,0,0,0,0,0,149,41,18,48,22,6,12
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis Heralmahuus,0056::SB18,9886 PG,126,88,0,1,0,0,0,79,10,0,0,0,0,0,0,89,20,15,14,17,12,10
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Dorpshuis De Vrijwilliger,0056::SB19,9885 PC,154,115,2,1,0,0,0,102,16,0,0,0,0,0,0,118,54,18,14,7,10,12
,Zuidhorn,GR2014_Zuidhorn,Gemeenteraad Zuidhorn 2014,0056,Zuidhorn,2014-03-19,Stembureau Steak- en Partyhouse André Dokter,0056::SB20,9805 TD,1209,1003,4,0,0,0,0,909,98,0,0,0,0,0,0,1007,151,249,202,134,107,160
