contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,VVD,Gemeentebelangen Stadskanaal,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Gemeentehuis,0037::SB1,9501 SZ,1250,866,2,4,0,0,0,794,78,0,0,0,0,0,0,872,177,204,91,66,143,122,46,17
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Parkwijkschool,0037::SB2,9503 CD,1257,636,2,1,0,0,0,577,62,0,0,0,0,0,0,639,105,105,80,58,103,118,58,9
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Gebouw Operettevereniging,0037::SB3,9503 LA,947,295,1,3,0,0,0,270,29,0,0,0,0,0,0,299,51,37,35,15,51,83,12,11
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""De Rank"" Oosterkade 5",0037::SB4,9503 HN,556,257,0,0,0,0,0,230,27,0,0,0,0,0,0,257,22,59,45,18,46,54,7,6
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Hagenhofschool,0037::SB5,9501 WD,1154,634,7,2,0,0,0,587,57,0,1,0,1,0,0,644,104,67,108,50,125,125,41,14
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Sporthal de Spont,0037::SB6,9501 DB,1009,439,0,3,0,0,0,419,23,0,0,0,0,0,0,442,117,45,38,17,70,134,12,6
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""Maarsheerd""",0037::SB7,9501 AM,848,707,1,3,0,0,0,655,56,0,0,0,0,0,0,711,130,172,118,42,94,100,40,11
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Gebouw Wijkraad Maarswold,0037::SB8,9501 PT,956,360,0,0,0,0,0,319,41,0,0,0,0,0,0,360,86,38,38,7,47,123,9,12
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Meester Neuteboomschool,0037::SB9,9502 CR,1372,925,2,5,0,0,0,856,76,0,0,0,0,0,0,932,184,119,152,37,121,238,56,18
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau Pagedal, Hoveniersweg 1",0037::SB10,9502 BW,1378,535,3,2,0,0,0,488,52,0,0,0,0,0,0,540,94,65,69,74,99,60,66,8
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Chr. Gereformeerde Kerk,0037::SB11,9501 BZ,1505,870,2,2,0,0,0,779,95,0,0,0,0,0,0,874,150,126,202,67,126,132,50,17
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau OBS De Oleander,0037::SB12,9501 VX,1535,786,4,2,0,0,0,712,80,0,0,0,0,0,0,792,91,133,113,85,158,89,100,17
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Gebouw Ons Huis,0037::SB13,9501 GA,1448,477,0,0,0,0,0,436,41,0,0,0,0,0,0,477,69,71,51,29,90,119,38,10
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Westerschool,0037::SB14,9501 XC,694,311,0,1,0,0,0,287,25,0,0,0,0,0,0,312,30,30,31,19,81,88,22,10
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""De Stobbe""",0037::SB15,9581 GK,717,248,0,0,0,0,0,218,30,0,0,0,0,0,0,248,55,20,26,6,42,87,11,1
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Parochiehuis,0037::SB16,9581 JD,1020,393,0,2,0,0,0,356,39,0,0,0,0,0,0,395,51,128,28,39,49,74,14,10
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""Musselhorst""",0037::SB17,9581 CZ,1435,560,0,5,0,0,0,483,82,0,0,0,0,0,0,565,82,124,47,37,80,156,22,12
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""Konditorei""",0037::SB18,9581 DG,1545,588,9,3,0,0,0,549,53,0,2,0,2,0,0,602,97,162,65,36,72,141,11,4
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,"Stembureau ""A-Horst"" Zorgcentrum",0037::SB19,9581 EN,1113,530,0,1,0,0,0,480,51,0,0,0,0,0,0,531,77,133,46,105,61,80,19,9
,Stadskanaal,GR2014_Stadskanaal,Gemeenteraad Stadskanaal 2014,0037,Stadskanaal,2014-03-19,Stembureau Chr Gereformeerde Kerk  Mussel,0037::SB20,9584 AS,1173,689,3,0,0,0,0,627,65,0,0,0,0,0,0,692,23,148,388,16,40,49,13,12
