contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Dinkelland,CDA,VVD,Partij van de Arbeid (P.v.d.A.),We doen wat we zeggen (WDWWZ),Democraten 66 (D66)
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Gemeentehuis Dinkelland,1774::SB1,7591 MA,1704,1237,3,4,0,0,0,1091,153,0,0,0,0,0,0,1244,599,254,137,165,22,60
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau OBS Dr. M.L. Kingschool,1774::SB2,7591 XJ,1893,1184,4,3,2,0,0,1051,138,0,0,2,0,0,0,1189,620,169,108,209,15,63
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Zorggroep St. Maarten,1774::SB3,7591 GX,1556,876,3,1,0,0,0,777,104,0,1,0,1,0,0,881,460,204,63,101,9,39
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Brandweerkazerne,1774::SB4,7591 BH,1676,894,2,2,0,0,0,790,109,0,0,0,1,0,1,899,492,130,81,131,9,51
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Kulturhus De Mare,1774::SB5,7591 PC,855,579,0,0,0,0,0,485,94,0,0,0,0,0,0,579,325,192,20,23,8,11
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Gasterij de Smid,1774::SB6,7635 NC,794,568,0,1,0,0,0,477,92,0,0,0,0,0,0,569,224,289,18,23,2,12
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Cafe Haamberg,1774::SB7,7634 PR,689,498,0,0,0,0,0,405,93,0,0,0,0,0,0,498,204,250,17,10,3,14
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Cafe Groot Agelo,1774::SB8,7636 RL,732,347,0,1,0,0,0,297,51,0,0,0,0,0,0,348,127,148,51,9,0,12
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Huize Sint Jozeph,1774::SB9,7595,1265,742,0,3,0,0,0,624,120,0,0,1,0,0,1,744,295,209,132,16,3,87
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau 't Trefpunt,1774::SB10,7595 XB,1083,775,1,0,0,0,0,676,100,0,0,0,0,0,0,776,301,191,160,8,4,111
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Kulturhus,1774::SB11,7597 LS,1273,843,0,1,0,0,0,680,164,0,0,0,0,0,0,844,93,609,95,21,0,25
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Kulturhus Rabo-de CoCeR,1774::SB12,7596 KM,1780,1075,3,6,0,0,0,912,172,0,0,0,0,0,0,1084,315,542,42,47,2,127
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau RK Basisschool Willibrordus (D),1774::SB13,7561 PT,1432,908,5,7,0,0,0,783,137,0,0,0,0,0,0,920,227,521,65,33,9,53
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Huize Franciscus,1774::SB14,7631 AM,1672,1194,2,9,0,3,0,1083,125,0,0,0,3,0,0,1208,624,270,149,43,8,100
,Dinkelland,GR2014_Dinkelland,Gemeenteraad Dinkelland 2014,1774,Dinkelland,2014-03-19,Stembureau Brede School de Bres,1774::SB15,7631 GR,1747,1202,1,1,0,0,0,1064,140,0,0,0,0,0,0,1204,690,231,114,52,2,113
