contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,VVD,SP (Socialistische Partij),CDA,Ouderen Partij Haarlem,TROTS,Actiepartij,ChristenUnie,Sociaal Lokaal,OPA,Haarlem Plus,partij voor de jeugd
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau het Stadhuis,0392::SB1,2011 RD,2217,1822,8,8,0,0,0,1686,159,0,7,0,7,0,0,1845,460,282,210,240,149,106,44,27,167,34,18,12,33,40
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Janskliniek,0392::SB2,2011 RS,1699,933,2,7,0,0,0,865,77,0,0,0,0,0,0,942,230,124,117,131,91,55,38,17,62,21,10,11,10,16
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Frans Loenenhofje,0392::SB3,2011 NV,2087,766,2,4,0,1,0,685,88,0,0,0,1,0,0,773,201,106,87,118,64,40,25,8,42,23,4,5,21,22
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Stadsbibliotheek,0392::SB4,2011 XP,1864,1357,6,9,0,0,0,1226,146,0,0,0,0,0,0,1372,400,182,181,156,100,64,28,21,120,23,11,18,14,39
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Rosenstock-Huessy Huis,0392::SB5,2011 CV,2018,1003,3,0,0,0,0,918,88,0,0,0,0,0,0,1006,206,130,134,159,109,48,32,15,94,13,21,7,19,16
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Kring,0392::SB6,2011 KZ,1559,731,4,0,0,0,0,672,63,0,0,0,0,0,0,735,201,124,81,96,49,47,14,14,44,11,7,6,13,24
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Nova College,0392::SB7,2013 AL,1277,799,1,1,0,0,0,738,63,0,0,0,0,0,0,801,230,123,110,89,65,53,18,12,35,18,6,3,19,18
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Woningbouwvereniging Rosehaghe,0392::SB8,2013 DR,1323,722,3,0,0,0,0,661,64,0,0,0,0,0,0,725,166,90,84,91,97,43,31,13,55,16,6,7,13,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuin Klarenhof,0392::SB9,2013 RN,1687,825,6,1,0,0,0,757,75,0,0,0,0,0,0,832,164,96,114,82,103,55,44,16,79,15,12,15,19,11
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Buurtcentrum de Til,0392::SB10,2013 PZ,2121,1044,7,5,0,0,0,962,94,0,0,0,0,0,0,1056,242,153,158,103,119,49,50,19,81,20,2,10,15,23
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Stichting 't Web,0392::SB11,2014 HE,1263,789,0,2,0,0,0,722,69,0,0,0,0,0,0,791,188,92,77,90,111,78,30,7,51,17,8,8,18,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Pelgrimkerk,0392::SB12,2014 KB,1028,638,4,1,0,0,0,601,42,0,0,0,0,0,0,643,128,75,59,59,102,57,37,12,38,28,4,18,11,10
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Speeltuin Jeugdland,0392::SB13,2014 CN,1882,1121,0,4,0,0,0,1032,93,0,0,0,0,0,0,1125,278,144,150,152,84,106,40,22,29,32,13,24,28,19
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Basisschool de Zuidwester,0392::SB14,2014 EB,1368,813,4,2,0,0,0,750,69,0,0,0,0,0,0,819,153,148,94,124,64,100,24,11,28,19,9,13,9,17
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum het Broederhuis,0392::SB15,2032 TC,2206,1074,3,7,0,0,0,999,85,0,0,0,0,0,0,1084,165,155,77,85,172,92,89,48,75,22,16,7,57,14
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Wijkcentrum Oosterkerk,0392::SB16,2032 WC,1864,668,1,2,0,2,0,616,57,0,0,0,2,0,0,673,90,76,62,74,107,51,41,33,51,11,13,2,50,7
,Haarlem,GR2014_Haarlem,Gemeenteraad Haarlem 2014,0392,Haarlem,2014-03-19,Stembureau Martin Luther Kingschool,0392::SB17,2032 KT,2179,890,7,3,0,0,0,824,76,0,0,0,0,0,0,900,137,116,107,97,130,77,55,39,48,28,16,4,19,17
