contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Politieke Partij DOE!,CDA,DeurneNU,VVD,Partij van de Arbeid (P.v.d.A.),PROGRESSIEF AKKOORD/GROENLINKS,Transparant Deurne
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gemeentehuis 1,0762::SB1,5751 BE,1045,614,3,5,0,0,0,562,60,0,0,0,0,0,0,622,169,81,79,90,73,50,72
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Verzorgingshuis De Nieuwenhof,0762::SB2,5751 BL,1933,938,7,3,0,0,0,845,103,0,0,0,0,0,0,948,229,220,119,116,74,103,77
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Wijkhuis D'n Houtenhoek,0762::SB3,5751 ES,2394,1030,6,5,0,0,0,941,100,0,0,0,0,0,0,1041,245,156,187,162,88,95,97
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Wijkcentrum De Heiakker,0762::SB4,5754 DV,1690,838,8,2,0,0,0,752,96,0,0,0,0,0,0,848,211,78,109,144,91,87,118
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gerardushuis,0762::SB5,5752 AP,1575,969,3,3,1,0,0,848,128,0,0,0,1,0,0,976,240,177,170,139,56,65,122
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Openbare basisschool De Bron,0762::SB6,5751 WJ,1545,667,6,3,0,0,0,605,71,0,0,0,0,0,0,676,139,69,67,113,84,121,74
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Hofke van Marijke,0762::SB7,5753 BE,1482,865,3,2,0,0,0,756,114,0,0,0,0,0,0,870,198,146,206,126,72,55,62
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Multifunctionele Acc.  't Huis,0762::SB8,5756 AM,1098,751,5,1,0,0,0,638,119,0,0,0,0,0,0,757,152,117,161,233,26,37,25
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Basisschool de Piramide,0762::SB9,5751 VC,1527,706,5,2,0,0,0,631,82,0,0,0,0,0,0,713,154,82,60,85,94,134,97
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau S.C.C. Den Draai,0762::SB10,5754 AV,2123,1236,7,7,0,0,0,1028,222,0,0,0,0,0,0,1250,172,292,242,175,98,99,158
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gemeenschapshuis De Kastanje,0762::SB11,5757 AP,1505,900,2,3,0,0,0,762,143,0,0,0,0,0,0,905,132,157,192,285,29,66,39
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Ontmoetingsruimte 'de Gasterij',0762::SB12,5757 DZ,1145,582,2,1,0,0,0,499,86,0,0,0,0,0,0,585,92,114,147,155,19,41,14
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gemeenschapshuis De Moost,0762::SB13,5758 RN,1411,878,2,2,0,0,0,753,129,0,0,0,0,0,0,882,109,213,394,102,21,31,8
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gemeenschapshuis De Gouden Helm,0762::SB14,5759 PA,698,450,1,3,0,0,0,393,61,0,0,0,0,0,0,454,52,60,246,75,7,5,5
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Basisschool D'n Heiakker,0762::SB15,5754 DJ,1769,656,5,1,0,0,0,584,78,0,0,0,0,0,0,662,164,42,104,72,101,115,58
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau brede school d'n Bogerd,0762::SB16,5753 GN,1287,513,1,0,0,0,0,444,70,0,0,0,0,0,0,514,133,79,106,62,45,32,56
,Deurne,GR2014_Deurne,Gemeenteraad Deurne 2014,0762,Deurne,2014-03-19,Stembureau Gemeentehuis 2,0762::SB17,5751 BE,1045,806,10,4,0,0,0,744,76,0,0,0,0,0,0,820,212,111,90,136,59,102,96
