contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang Groot Hulst,Groot Hontenisse,Partij van de Arbeid (P.v.d.A.),CDA,PROGRESSIEF HULST,VVD,SP (Socialistische Partij),HULST ANDERS
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Hal Stadhuis,0677::SB1,,2442,1728,2,11,0,0,0,1492,249,0,0,0,0,0,0,1741,256,87,321,244,350,258,122,90
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,,1374,912,5,2,0,0,0,816,103,0,0,0,0,0,0,919,175,60,120,206,146,75,63,67
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapscentrum Den Dullaert,0677::SB3,,2261,1469,3,3,0,1,0,1267,210,0,0,0,2,0,1,1477,221,121,186,235,318,223,87,78
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,"Stembureau Reynaertcollege, locatie Gildenstraat",0677::SB4,,2579,1029,0,0,0,0,0,884,145,0,0,0,0,0,0,1029,165,62,163,126,229,132,99,53
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapscentrum Malpertuus,0677::SB5,,2005,949,5,9,0,0,0,784,179,0,0,0,0,0,0,963,165,93,223,99,156,58,94,61
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapscentrum de Kauter,0677::SB6,,822,366,1,4,0,0,0,293,78,0,0,0,0,0,0,371,63,24,88,47,51,21,50,22
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapshuis Graauw,0677::SB7,,751,454,3,2,0,0,0,398,61,0,0,0,0,0,0,459,115,54,51,97,59,26,34,18
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapscentrum De Warande,0677::SB8,,2814,1477,4,5,0,0,0,1245,241,0,0,0,0,0,0,1486,436,105,204,224,245,81,101,81
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapscentrum 't Heike,0677::SB9,,1074,624,0,0,0,0,0,509,115,0,0,0,0,0,0,624,147,30,69,179,88,51,27,33
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,"Stembureau St. Curamus, locatie Antonius",0677::SB10,,1297,891,0,7,0,0,0,758,140,0,0,0,0,0,0,898,345,277,44,111,25,23,47,19
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Dorpscentrum De Luifel,0677::SB11,,769,469,0,2,0,0,0,400,71,0,0,0,0,0,0,471,87,239,27,36,26,14,29,11
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Dorpshuis Terhole,0677::SB12,,489,259,0,1,0,0,0,233,27,0,0,0,0,0,0,260,50,48,33,45,20,10,40,13
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,,1492,976,1,5,0,0,0,815,166,0,0,1,0,1,0,981,415,235,39,94,52,37,64,40
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,,411,255,0,2,0,0,0,210,47,0,0,0,0,0,0,257,81,59,9,36,16,11,32,11
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Dorpscentrum De Schuur,0677::SB15,,532,319,0,2,0,0,0,264,57,0,0,0,0,0,0,321,122,79,23,25,15,10,33,12
,Hulst,GR2014_Hulst,Gemeenteraad Hulst 2014,0677,Hulst,2014-03-19,Stembureau Voormalig gem.huis Kloosterzande,0677::SB16,,1257,829,3,0,0,0,0,702,130,0,0,0,0,0,0,832,367,245,20,85,31,18,39,24
