contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),FNP,VVD,GROENLINKS,GemeenteBelangen Súdwest Fryslân (GB),Democraten 66 (D66),ChristenUnie,TOTAAL LOKAAL (T.T.L),SP (Socialistische Partij),Partij voor de bijstand
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Stadhuis Sneek,1900::SB1,8601 CR,1043,744,2,0,0,0,0,681,65,0,0,0,0,0,0,746,93,179,61,87,38,39,94,30,46,73,4
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Doarpshûs It Nije Formidden,1900::SB2,8633 JA,542,413,0,0,0,0,0,390,23,0,0,0,0,0,0,413,92,51,81,49,14,23,49,14,12,28,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau ROC Friese Poort,1900::SB3,8602 JX,1103,559,0,0,0,0,0,517,42,0,0,0,0,0,0,559,154,90,53,54,24,24,63,34,24,38,1
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Ut Wykje,1900::SB4,8607 BG,1373,497,2,3,0,0,0,469,33,0,0,0,0,0,0,502,81,97,50,29,19,37,28,22,24,100,10
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau De Eekmolen,1900::SB5,8606 EJ,1162,491,8,0,0,0,0,464,35,0,0,0,0,0,0,499,67,119,35,34,15,24,43,13,37,97,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Frittemahof (nieuwe hoofdingang),1900::SB6,8604 AA,1375,893,3,2,0,0,0,826,72,0,0,0,0,0,0,898,205,182,50,113,32,46,101,58,42,64,0
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau It Skûlplak,1900::SB7,8603 AP,1065,652,0,5,0,0,0,618,39,0,0,0,0,0,0,657,117,114,71,31,32,31,60,43,39,105,9
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Dr Wumkeshûs,1900::SB8,8606 AV,1236,606,0,0,0,0,0,553,53,0,0,0,0,0,0,606,131,107,68,54,19,28,47,35,33,77,7
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Parkflat (Stadsfenne),1900::SB9,8604 ZG,1312,817,0,2,0,0,0,744,75,0,0,0,0,0,0,819,198,169,50,60,49,29,70,76,39,75,2
,Súdwest Fryslân,GR2014_SudwestFryslan,Gemeenteraad Súdwest Fryslân 2014,1900,Súdwest Fryslân,2014-03-19,Stembureau Bonifatiushuis,1900::SB10,8605 BW,906,615,3,1,0,0,0,558,61,0,0,0,0,0,0,619,113,122,44,107,27,23,80,27,31,40,1
