contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,GBLV/Gemeentebelangen,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie-SGP
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Stadskantoor Voorburg,1916::SB1,2271 DG,1263,1124,1,3,0,0,0,1027,101,0,0,0,0,0,0,1128,316,131,205,260,105,82,25
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Montessorischool,1916::SB2,2273 AC,1937,1184,3,3,0,0,0,1053,137,0,0,0,0,0,0,1190,398,147,135,316,76,90,22
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Verzorgingshuis Het Anker,1916::SB3,2273 AG,1098,905,0,3,0,0,0,833,75,0,0,0,0,0,0,908,203,174,176,189,65,63,35
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Basisschool Sint Maarten,1916::SB4,2271 EP,1847,1237,3,4,0,0,0,1102,140,0,0,2,0,2,0,1242,354,170,215,305,81,88,24
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,"Stembureau Wijkgebouw ""De Boot""",1916::SB5,2272 AN,1904,1287,1,1,0,0,0,1146,144,0,0,0,1,0,0,1290,424,171,168,289,108,102,25
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum Agora,1916::SB6,2275 CZ,1598,1335,2,3,0,5,0,1205,140,0,0,0,5,0,0,1345,378,161,188,299,145,126,38
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum Agora,1916::SB7,2275 CZ,1970,974,2,6,0,0,0,863,120,0,0,0,1,0,0,983,281,112,117,265,88,77,34
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Basisschool De Parachute,1916::SB8,2274 TZ,1838,800,5,5,0,0,0,744,67,0,1,0,1,0,0,811,146,64,186,165,87,123,29
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Basisschool De Parachute,1916::SB9,2274 TZ,1792,611,3,4,2,0,0,550,70,0,0,0,2,0,0,620,116,49,124,155,57,82,28
,Leidschendam-Voorburg,GR2014_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2014,1916,Leidschendam-Voorburg,2014-03-19,Stembureau Wijkcentrum De Driesprong,1916::SB10,2274 RX,1706,939,1,6,1,0,0,860,87,0,0,0,1,0,0,947,218,84,148,264,95,93,37
