contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),Heemsteeds Burger Belang,GROENLINKS
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Raadhuis,0397::SB1,2101 HA,1181,1318,6,8,0,0,0,1221,112,0,1,0,1,0,0,1333,281,282,171,134,316,134
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau De Heemhaven,0397::SB2,2102 XC,1123,819,0,0,0,0,0,751,68,0,0,0,0,0,0,819,205,133,138,65,210,68
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Nicolaas Beetsschool,0397::SB3,2103 VR,1172,535,3,0,0,0,0,475,63,0,0,0,0,0,0,538,130,108,81,36,128,52
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Huize Bosbeek,0397::SB4,2104 WG,1133,712,1,0,0,0,0,653,61,0,1,0,1,0,0,714,100,109,184,95,142,82
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Princehof,0397::SB5,2104 AH,2175,1037,8,0,0,0,0,954,91,0,0,0,0,0,0,1045,204,209,150,148,210,116
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Peuterspeelzaal Reggelaan,0397::SB6,2105 VH,1421,834,4,3,0,0,0,781,60,0,0,0,0,0,0,841,134,212,93,98,182,115
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau De Evenaar,0397::SB7,2105 TC,1395,922,5,3,1,0,0,870,61,0,0,0,1,0,0,931,145,202,121,90,227,137
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau De Luifel,0397::SB8,2101 MP,1137,717,2,2,0,0,0,659,63,0,0,0,1,0,0,722,133,118,130,69,189,78
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Bibliotheek,0397::SB9,2101 ZC,1321,1060,6,4,0,0,0,957,114,0,1,0,1,0,0,1071,209,219,92,95,336,109
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Kennemerduin,0397::SB10,2101 MS,1238,559,1,2,0,0,0,518,44,0,0,0,0,0,0,562,124,86,104,50,133,62
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Crayenesterschool,0397::SB11,2101 AN,1182,835,3,1,0,0,0,731,108,0,0,0,0,0,0,839,269,238,78,56,134,60
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Bosch en Hovenschool,0397::SB12,2101 AJ,1063,695,0,0,0,0,0,602,93,0,0,0,0,0,0,695,183,197,60,64,140,51
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Station,0397::SB13,,1241,1029,0,2,0,0,0,936,95,0,0,0,0,0,0,1031,275,311,84,82,179,98
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Voorwegschool,0397::SB14,2103 ST,1349,792,3,2,0,0,0,707,90,0,0,0,0,0,0,797,156,166,111,72,199,88
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Spaarne Ziekenhuis,0397::SB15,2102 CW,1073,812,0,0,0,0,0,722,90,0,0,0,0,0,0,812,206,228,66,69,189,54
,Heemstede,GR2014_Heemstede,Gemeenteraad Heemstede 2014,0397,Heemstede,2014-03-19,Stembureau Welzijn Ouderen Heemstede,0397::SB16,2101 VE,1353,520,0,1,0,0,0,461,60,0,0,0,0,0,0,521,122,111,88,39,104,56
