contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Leefbaar Diemen,Democraten 66 (D66),SP (Socialistische Partij),CDA,Sociaal Diemen,Partij van de Ouderen (P.v.d.O.)
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Gemeentehuis,0384::SB1,1111 ZB,1578,1230,11,4,2,0,0,1150,97,0,0,0,0,0,0,1247,187,190,154,160,181,139,90,28,101
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau De Brede Hoed,0384::SB2,1111 ZC,1424,635,4,3,0,0,0,589,53,0,0,0,0,0,0,642,74,80,66,81,84,106,57,8,79
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1282,724,5,1,0,0,0,665,65,0,0,0,0,0,0,730,113,91,66,99,147,61,66,14,67
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1169,535,5,3,0,0,0,495,48,0,0,0,0,0,0,543,68,96,53,69,72,64,45,8,60
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,1417,639,1,7,0,0,0,558,89,0,0,0,0,0,0,647,75,87,58,83,88,113,57,12,66
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Sporthal Diemen,0384::SB6,1111 ET,1042,431,3,1,0,0,0,401,34,0,0,0,0,0,0,435,59,68,42,67,68,54,33,6,34
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau OBS 't Palet,0384::SB7,1111 VR,1946,918,4,1,0,0,0,828,95,0,0,0,0,0,0,923,177,149,101,128,150,81,39,19,74
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Wijkcentrum Noord zaal 1,0384::SB8,1113 HM,1737,860,1,8,0,0,0,789,80,0,0,0,0,0,0,869,169,140,68,93,144,67,78,12,89
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Wijkcentrum Noord zaal 2,0384::SB9,1113 HM,1665,851,2,5,0,0,0,777,81,0,0,0,0,0,0,858,169,132,52,117,113,94,57,15,102
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1383,649,2,6,0,0,0,604,53,0,0,0,0,0,0,657,56,97,46,62,61,111,70,26,120
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Sportcentrum Duran,0384::SB11,1112 BE,1140,696,5,2,0,0,0,640,63,0,0,0,0,0,0,703,98,131,62,74,103,79,51,31,67
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau OBS De Venser,0384::SB12,1112 BE,1150,672,3,6,0,0,0,625,56,0,0,0,0,0,0,681,74,91,73,92,83,120,41,31,67
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Grand café Berlin (Campus Diemen),0384::SB13,1112 XC,2510,622,4,1,0,0,0,577,50,0,0,0,0,0,0,627,68,76,107,68,153,79,32,22,17
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Keet Boschplaat,0384::SB14,1112 KA,715,343,2,0,0,0,0,320,25,0,0,0,0,0,0,345,53,33,49,30,78,36,22,5,37
,Diemen,GR2014_Diemen,Gemeenteraad Diemen 2014,0384,Diemen,2014-03-19,Stembureau Brede School De Kersenboom,0384::SB15,1111 PT,464,231,0,2,0,0,0,205,28,0,0,0,0,0,0,233,62,47,25,9,44,18,13,8,5
