contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,G.O.B.,CDA,Stadspartij,GROENLINKS,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),SP (Socialistische Partij),DNA Partij,OPA
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Zorgcentrum de Baenje,1883::SB1,6131 JR,1807,1374,6,2,0,0,0,1250,132,0,0,0,0,0,0,1382,110,489,153,113,80,60,116,102,70,81
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Stadssporthal Sittard,1883::SB2,6131 AG,1664,762,3,0,0,0,0,700,65,0,0,0,0,0,0,765,41,259,60,68,51,31,57,69,63,63
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Barbarazaal,1883::SB3,6134 XJ,1776,588,2,2,0,0,0,512,80,0,0,0,0,0,0,592,58,67,162,41,55,13,11,108,15,58
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis de Landjwaer,1883::SB4,6133 AJ,1745,1281,5,3,0,0,0,1150,139,0,0,0,0,0,0,1289,50,312,161,176,152,55,121,157,49,48
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Fanfarezaal St. Jan,1883::SB5,6132 CD,2005,1134,2,2,0,0,0,974,164,0,0,0,0,0,0,1138,70,441,79,51,78,132,122,35,89,37
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Zorgcentrum De Kollenberg,1883::SB6,6137 AC,1067,671,4,8,0,1,0,618,66,0,0,0,1,0,0,684,47,183,139,65,38,19,38,55,19,68
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Tafeltenniscentrum Sittard,1883::SB7,6137 PE,1710,732,3,7,0,0,0,680,62,0,0,0,0,0,0,742,38,177,144,67,67,18,28,113,23,57
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Gemeenschapshuis Broeksittard,1883::SB8,6137 SR,1887,725,5,1,0,0,0,615,116,0,0,0,0,0,0,730,50,111,196,103,49,8,25,91,36,56
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Oos Zittesj Hoes,1883::SB9,6131 GS,1430,622,1,4,0,0,0,563,64,0,0,0,0,0,0,627,30,179,150,29,37,12,29,53,33,70
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Xonar,1883::SB10,6132 EL,1436,498,3,4,0,0,0,452,53,0,0,0,0,0,0,505,30,74,92,58,38,14,37,114,12,29
,Sittard-Geleen,GR2014_SittardGeleen,Gemeenteraad Sittard-Geleen 2014,1883,Sittard-Geleen,2014-03-19,Stembureau Basisschool Lahrhof,1883::SB11,6132 GN,1423,943,2,4,0,0,0,835,114,0,0,0,0,0,0,949,70,193,136,117,107,52,94,94,39,41
