contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Enter Wierden,Platform Progressief Wierden (PPW),ChristenUnie,VVD
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Gemeentehuis,0189::SB1,7642 EC,1073,819,3,2,0,0,0,747,77,0,0,0,0,0,0,824,278,121,223,83,114
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Kluinveenschool,0189::SB2,7641 AL,1171,802,1,4,0,1,0,722,86,0,0,0,1,0,0,808,300,116,130,166,90
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1615,798,0,4,0,0,0,745,57,0,0,0,0,0,0,802,209,215,148,177,49
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau 't Kielhoes,0189::SB4,7642 GW,1808,1005,2,6,0,0,0,917,96,0,0,0,0,0,0,1013,388,159,189,173,96
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1756,1210,3,4,0,1,0,1121,97,0,0,0,1,0,0,1218,350,187,387,184,102
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Bedrijfsverzamelgebouw,0189::SB6,7641 AB,1398,876,9,2,0,0,0,793,94,0,0,0,0,0,0,887,258,149,265,113,91
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1909,1287,0,1,0,0,0,1149,139,0,0,0,0,0,0,1288,338,400,161,276,112
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1838,1262,2,2,0,0,0,1130,136,0,0,0,0,0,0,1266,290,545,167,162,98
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1615,1060,1,2,0,0,0,930,133,0,0,0,0,0,0,1063,273,474,115,125,73
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,771,524,0,2,0,0,0,477,49,0,0,0,0,0,0,526,237,27,46,159,55
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,684,497,0,0,0,0,0,447,50,0,0,0,0,0,0,497,213,45,47,149,43
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Akkerhus,0189::SB12,7468 RE,423,315,0,1,0,0,0,275,41,0,0,0,0,0,0,316,121,57,19,61,57
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Gemeentehuis,0189::SB13,7642 EC,1061,781,2,1,0,0,0,725,59,0,0,0,0,0,0,784,248,128,193,133,79
,Wierden,GR2014_Wierden,Gemeenteraad Wierden 2014,0189,Wierden,2014-03-19,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1408,641,0,1,0,0,0,562,80,0,0,0,0,0,0,642,209,99,189,51,93
