contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Leefbaar Haaksbergen,VVD,Democraten 66 (D66),G.G.H.
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Gemeentehuis,0158::SB1,7481 HS,1699,1203,3,1,0,0,0,1089,118,0,0,0,0,0,0,1207,249,177,393,124,181,79
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau 't Saalmerink,0158::SB2,7481 EN,1531,677,2,0,0,0,0,634,45,0,0,0,0,0,0,679,163,90,194,78,98,54
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,"Stembureau De Trefkoel,Buurse",0158::SB3,7481 RP,1133,639,2,1,0,0,0,581,61,0,0,0,0,0,0,642,257,42,109,109,60,62
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,"Stembureau 't Meuken,Isidorushoeve",0158::SB4,7482 ST,1200,761,1,0,0,0,0,634,128,0,0,0,0,0,0,762,458,26,147,63,43,24
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau School de Holthuizen,0158::SB5,7482 ET,1277,716,4,2,0,0,0,667,55,0,0,0,0,0,0,722,133,75,241,78,151,38
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Het Wiedenbroek,0158::SB6,7481 BT,1223,713,0,4,0,0,0,669,48,0,0,0,0,0,0,717,178,78,248,66,97,46
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Honeschschool,0158::SB7,7481 VB,980,572,0,1,0,0,0,491,82,0,0,0,0,0,0,573,201,40,170,78,66,17
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau School de Wereld,0158::SB8,7482 ET,1533,721,1,1,0,0,0,668,55,0,0,0,0,0,0,723,136,131,201,54,107,92
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Montessorischool,0158::SB9,7481 BC,1553,856,2,3,0,0,0,792,69,0,0,0,0,0,0,861,255,78,206,89,174,54
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Verenigingsgebouw D.I.O.,0158::SB10,7481 GN,1485,784,7,3,0,0,0,724,70,0,0,0,0,0,0,794,169,115,280,62,80,78
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Basisschool de Weert,0158::SB11,7482 TT,1241,665,4,0,0,0,0,618,51,0,0,0,0,0,0,669,185,78,173,79,119,31
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Basisschool Dr. Ariens,0158::SB12,7482 ZK,1502,790,6,1,0,0,0,705,92,0,0,0,0,0,0,797,166,157,241,66,112,48
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Sporthal de Els,0158::SB13,7482 VX,1306,711,8,4,0,0,0,661,62,0,0,0,0,0,0,723,128,100,242,64,120,57
,Haaksbergen,GR2014_Haaksbergen,Gemeenteraad Haaksbergen 2014,0158,Haaksbergen,2014-03-19,Stembureau Basisschool Los Hoes,0158::SB14,7483 CT,1554,805,1,3,0,0,0,712,97,0,0,0,0,0,0,809,147,98,181,163,175,41
