contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Drechterland,CDA,VVD,Progressief Drechterland,Senioren Partij Drechterland
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Gemeentehuis Hoogkarspel,0498::SB1,1616 AV,1604,1146,11,6,0,0,0,1072,91,0,0,0,0,0,0,1163,214,341,202,223,166
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Het Reigersnest,0498::SB2,1616 HB,1819,804,1,0,0,0,0,711,94,0,0,0,0,0,0,805,170,217,214,121,82
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Water en Vuurhuis,0498::SB3,1616 CB,1278,644,5,1,0,0,0,573,77,0,0,0,0,0,0,650,116,184,106,125,113
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau De Lindeboom,0498::SB4,1617 KJ,1481,738,2,1,0,0,0,677,64,0,0,0,0,0,0,741,118,238,169,113,100
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Cultureel Centrum Pancratius,0498::SB5,1696 BK,1214,647,7,3,0,0,0,587,70,0,0,0,0,0,0,657,142,158,187,74,86
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Dorpshuis Het Centrum,0498::SB6,1606 BW,1598,830,4,0,0,0,0,777,57,0,0,0,0,0,0,834,182,255,201,89,103
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Hervormde Kerk (De Triangel),0498::SB7,1606 AP,1706,973,0,1,0,0,0,892,82,0,0,0,0,0,0,974,231,179,265,163,135
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Gemeentehuis Venhuizen,0498::SB8,1606 CZ,1269,654,1,1,0,0,0,574,82,0,0,0,0,0,0,656,120,166,197,97,74
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Dorpshuis De Wiekslag,0498::SB9,1608 EC,1156,640,2,2,0,0,0,596,48,0,0,0,0,0,0,644,120,149,176,125,70
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Dorpshuis De Dregt,0498::SB10,1697 KG,699,387,2,0,1,0,0,360,30,0,0,0,1,0,0,390,107,73,67,105,35
,Drechterland,GR2014_Drechterland,Gemeenteraad Drechterland 2014,0498,Drechterland,2014-03-19,Stembureau Loods 2,0498::SB11,1616 RT,1237,627,1,0,0,0,0,575,53,0,0,0,0,0,0,628,103,189,137,121,77
