contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,VVD,Onafhankelijk Delft,CDA,STIP,Stadsbelangen,SP (Socialistische Partij),ChristenUnie,DOP,Partij v. Sociale en Maatsch. Vernieuwing
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,"Stembureau Gemeente Delft, ""Stadhuis""",0503::SB1,2611 GS,1574,1308,5,0,3,0,0,1233,77,0,0,3,0,0,0,1310,334,92,181,118,58,60,301,44,62,47,6,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Max Havelaarschool,0503::SB2,2611 JR,2100,1501,4,2,0,0,0,1371,135,0,0,1,0,0,0,1506,366,135,213,162,120,87,179,49,139,33,15,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Jenaplanschool De Oostpoort,0503::SB3,2611 SN,1820,896,4,2,0,0,0,807,94,0,0,1,0,0,0,901,251,77,132,86,52,66,98,36,59,30,7,2
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau St.DOK (voorheen Openb Bibliotheek),0503::SB4,2611 WG,1789,1186,3,4,0,1,0,1111,83,0,0,0,1,0,0,1194,287,98,146,112,117,78,133,61,107,23,15,9
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,"Stembureau Gemeente Delft, ""KCC""",0503::SB5,2611 AL,1523,1081,0,8,0,0,0,1012,77,0,0,0,0,0,0,1089,267,92,114,99,47,60,238,44,76,27,8,9
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Informatiecentrum Delft Bouwt,0503::SB7,2611 BM,1493,806,4,3,0,1,0,757,55,0,0,1,0,0,0,812,205,63,72,84,34,38,228,25,32,20,3,2
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Voormalig GGD-gebouw,0503::SB8,2627 BM,1049,687,4,2,0,0,0,642,51,0,0,0,1,0,0,693,166,62,101,57,70,70,28,41,51,26,12,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Het Kristal,0503::SB9,2614 SH,1970,1184,4,2,0,0,0,1070,123,0,3,0,1190,0,0,1193,264,111,129,189,122,134,30,60,68,52,20,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Stichting FNV-Gebouw,0503::SB10,2614 EH,1916,626,3,1,0,6,0,568,69,0,0,0,7,0,0,637,105,66,47,64,92,81,23,35,56,32,21,4
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wijkcentrum De Parel,0503::SB11,2614 HE,2131,1040,6,1,0,0,0,969,78,0,0,0,0,0,0,1047,176,119,99,77,147,94,41,67,128,57,29,6
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Gebouw Het Westlandhof,0503::SB12,2614 HX,1910,1063,0,0,0,0,0,951,112,0,0,0,0,0,0,1063,208,110,86,134,132,144,44,68,62,51,16,8
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Laurentius Praktijkschool,0503::SB13,2613 XP,1710,1173,4,4,0,0,0,1072,109,0,0,0,0,0,0,1181,291,84,139,125,120,113,68,79,85,52,12,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wooncentrum Cort van der Linden,0503::SB14,2613 LC,1699,832,0,5,0,0,0,774,63,0,0,0,0,0,0,837,133,86,98,62,107,109,21,39,78,68,29,2
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Freinetschool Delft,0503::SB15,2613 LE,1926,903,0,5,0,0,0,840,68,0,0,0,0,0,0,908,239,64,121,59,93,56,83,75,51,45,14,3
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Freinetschool Delft,0503::SB16,2613 LE,1919,938,1,4,0,0,0,862,81,0,0,0,0,0,0,943,229,82,133,54,76,64,98,74,65,46,12,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wijkcentrum Delft Noord,0503::SB18,2612 CB,1761,689,2,2,0,0,0,657,39,0,0,0,3,0,0,696,114,43,56,39,142,37,66,50,102,30,8,2
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Woonzorgcentrum Monica,0503::SB19,2612 GV,1008,756,2,2,0,0,0,699,61,0,0,0,0,0,0,760,155,60,82,69,123,74,20,45,72,41,14,1
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Verpleeghuis De Bieslandhof,0503::SB20,2612 VC,1946,1096,5,3,0,3,0,955,146,0,0,3,0,0,0,1101,198,78,156,64,169,90,47,88,101,56,44,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau St. SILA/Boccia,0503::SB21,2612 RA,1396,729,4,2,0,4,0,666,73,0,0,0,4,0,0,739,110,50,64,43,121,49,121,37,88,24,18,4
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,"Stembureau Gemeente Delft, ""Staalweg""",0503::SB22,2612 KK,1633,647,3,3,0,0,0,613,40,0,0,0,0,0,0,653,92,47,43,36,163,61,19,57,80,20,23,6
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Buurthuis Onder de Schie,0503::SB23,2628 AJ,1686,1111,6,2,0,0,0,1016,103,0,0,0,0,0,0,1119,280,125,132,118,92,73,111,51,75,39,13,2
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau TU Fac Elektrotechn Wisk & Informat,0503::SB24,2628 CD,2180,1348,8,6,7,0,0,1325,44,0,0,0,7,0,0,1369,375,40,70,68,18,24,665,8,27,46,2,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Prins Mauritsschool,0503::SB25,2628 GJ,1916,1068,3,4,0,4,0,979,92,0,0,4,0,0,0,1071,159,90,101,62,147,79,124,99,96,88,15,8
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Vrijetijdscentrum De Wipmolen,0503::SB26,2628 JR,1561,685,2,5,0,1,0,656,37,0,0,0,1,0,0,693,99,53,37,20,93,47,75,133,69,41,13,5
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Wijkwerk Wippolder,0503::SB28,2628 JN,1836,578,3,3,0,1,0,534,51,0,0,0,1,0,0,585,84,43,58,31,112,38,46,70,56,26,6,8
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Buurthuis De Wending,0503::SB29,2613 RW,1829,1030,13,5,0,0,0,988,60,0,0,0,0,0,0,1048,225,93,129,66,85,45,110,93,115,47,6,16
,Delft,GR2014_Delft,Gemeenteraad Delft 2014,0503,Delft,2014-03-19,Stembureau Delftse Montessorischool,0503::SB30,2613 JK,1762,785,3,3,0,0,0,726,64,0,0,1,0,1,0,790,192,81,103,47,47,28,175,29,48,23,4,8
