contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,VVD,CDA,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),Lokaal Veenendaal,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),ProVeenendaal
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Dienstencentrum Duivenwal,0345::SB1,3901 ZA,1733,863,2,5,0,0,0,783,87,0,0,0,0,0,0,870,190,88,71,120,54,67,82,28,62,101
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Gebouw gelegen aan G v Schoonbekest,0345::SB2,3901 PZ,1769,683,1,5,0,0,0,579,110,0,0,0,0,0,0,689,124,36,41,105,32,34,133,62,54,62
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Seniorenflat De Sterke Arm,0345::SB3,3901 ER,1730,879,2,3,1,0,0,781,104,0,0,0,1,0,0,885,174,50,77,157,52,64,88,52,90,75
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Woon-en Zorgcentrum De Engelenburgh,0345::SB4,3901 ED,1131,816,2,0,0,0,0,723,95,0,0,0,0,0,0,818,206,55,92,221,34,38,59,38,41,32
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Zaal van Apostolisch Genootschap,0345::SB5,3904 JZ,1548,1123,3,7,0,0,0,988,145,0,0,0,0,0,0,1133,249,208,115,92,38,81,164,26,45,105
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,3904 KK,1546,1116,1,4,0,0,0,958,163,0,0,0,0,0,0,1121,213,119,130,179,41,76,138,47,66,107
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Gebouw Shalom (achter Vredeskerk),0345::SB7,3904 JB,1422,799,1,0,0,0,0,706,94,0,0,0,0,0,0,800,162,123,107,151,37,40,89,30,22,38
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Gebouw Groenhof,0345::SB8,3904 TG,1630,933,1,1,0,0,0,826,109,0,0,0,0,0,0,935,192,113,112,111,65,49,118,47,40,86
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Patrimoniumschool,0345::SB9,3904 AA,1516,917,3,3,3,0,0,800,126,0,0,0,3,0,0,926,236,63,74,106,40,70,91,44,87,106
,Veenendaal,GR2014_Veenendaal,Gemeenteraad Veenendaal 2014,0345,Veenendaal,2014-03-19,Stembureau Juliana van Stolbergschool (dep. 2),0345::SB10,3904 TE,1358,599,3,1,0,0,0,501,102,0,0,0,0,0,0,603,101,31,45,44,30,36,163,27,64,58
