contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,SP (Socialistische Partij),Verenigde Communistische Partij (VCP),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor het Noorden,GROEP HOP,Oldambt Aktief
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau De Boschpoort,1895::SB1,9671 GB,1180,902,4,2,0,0,0,828,80,0,0,0,0,0,0,908,119,100,113,134,100,45,106,36,102,4,43
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Leger des Heils,1895::SB2,9671 CC,1056,550,4,8,0,0,0,517,45,0,0,0,0,0,0,562,75,87,113,65,61,14,38,14,66,0,17
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1627,878,4,2,0,0,0,797,87,0,0,0,0,0,0,884,161,81,86,180,119,18,65,39,78,1,50
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1304,681,5,1,0,0,0,629,58,0,0,0,0,0,0,687,109,36,42,122,113,18,69,19,104,2,47
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Voormalige kantine brandweer,1895::SB5,9675 HJ,1392,779,3,1,0,0,0,704,79,0,0,0,0,0,0,783,92,98,103,124,72,15,86,47,96,6,40
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau SV Bovenburen,1895::SB6,9675 JW,1523,657,6,2,0,0,0,600,65,0,0,0,0,0,0,665,98,40,37,126,119,31,72,29,61,1,43
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau De Renselheerdt,1895::SB7,9675 AB,1137,778,12,9,0,0,0,726,73,0,0,0,0,0,0,799,131,78,30,175,119,14,54,33,79,2,63
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Sportcafé 1873 tennishal,1895::SB8,9675 NB,1118,391,3,1,0,0,0,357,38,0,0,0,0,0,0,395,60,17,23,96,64,15,38,22,29,0,27
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Het Parkholt,1895::SB9,9675 JA,1377,976,4,4,0,1,0,888,96,0,0,0,0,0,0,984,112,138,147,133,76,33,129,60,112,1,35
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Campus Winschoten,1895::SB10,9673 GS,1218,481,1,1,0,0,0,428,55,0,0,0,0,0,0,483,70,39,61,72,68,22,34,28,59,1,27
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Het Vondelhuys,1895::SB12,9673 BL,1814,904,6,0,0,0,0,841,69,0,0,0,0,0,0,910,153,96,54,190,138,20,47,75,82,1,48
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Nieuw Vredenhoven,1895::SB20,9679 AX,1222,599,7,2,1,0,0,549,60,0,0,0,1,0,0,609,110,104,48,120,73,10,30,35,31,1,37
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Kantine vv Oldambtster Boys,1895::SB21,9943 PA,403,260,2,3,0,0,0,233,32,0,0,0,0,0,0,265,43,27,9,48,65,9,19,10,14,9,7
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Verenigingsgebouw Antenne,1895::SB22,9678 PR,1170,672,6,0,0,0,0,621,57,0,0,0,0,0,0,678,60,108,74,95,49,12,52,91,102,4,25
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Brasserie Slag bij Heiligerlee,1895::SB23,9677 PB,1215,677,10,0,0,0,0,622,65,0,0,0,0,0,0,687,93,46,64,160,108,17,49,32,76,5,27
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Dorpshuis 't Trefpunt,1895::SB24,9944 AG,1129,568,7,4,0,0,0,511,68,0,0,0,0,0,0,579,71,104,41,120,95,20,52,16,32,0,17
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Eextahal Scheemda,1895::SB25,9679 HA,1577,840,13,2,0,0,0,783,72,0,0,0,0,0,0,855,107,93,100,169,62,24,70,55,116,2,42
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Dependance gemeentehuis,1895::SB26,9679 BR,1253,977,7,4,0,0,0,909,79,0,0,0,0,0,0,988,131,136,85,197,92,16,106,69,104,4,37
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Gasterij Smits,1895::SB27,9681 AL,1741,1016,7,0,0,0,0,924,99,0,0,0,0,0,0,1023,147,213,53,126,178,25,42,100,72,5,55
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Equipo Blauwestad,1895::SB28,9682 VK,881,377,0,0,0,0,0,324,53,0,0,0,0,0,0,377,28,26,74,33,98,9,49,10,36,0,14
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau De Twee Oldambten,1895::SB29,9682 RB,855,586,0,1,0,0,0,528,59,0,0,0,0,0,0,587,47,110,42,86,127,19,29,44,48,4,30
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau De Tjamme Beerta,1895::SB30,9686 PC,1744,933,4,3,0,0,0,827,113,0,0,0,0,0,0,940,133,55,42,174,305,31,50,14,63,0,66
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Pyramide Finsterwolde,1895::SB31,9684 CL,1736,907,9,3,0,0,0,808,111,0,0,0,0,0,0,919,62,43,76,239,300,24,44,17,51,4,47
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Noorderlicht,1895::SB32,9688 RV,560,296,1,0,0,0,0,266,30,0,0,1,0,0,0,296,23,42,30,67,46,7,9,2,35,5,30
,Oldambt,GR2014_Oldambt,Gemeenteraad Oldambt 2014,1895,Oldambt,2014-03-19,Stembureau Akkerschans,1895::SB33,9693 BS,1223,593,2,3,0,0,0,544,54,0,0,0,0,0,0,598,85,49,29,162,110,18,33,13,52,11,31
