contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PAC,GEMEENTEBELANGEN,Democraten 66 (D66),Belangen Buitengebied Coevorden
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Hof van Coevorden Coevorden,0109::SB1,7741 GC,1076,774,5,2,0,0,0,713,68,0,0,0,0,0,0,781,145,125,161,203,42,62,36
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Het Nieuwe Bastion Coevorden,0109::SB2,7741 HX,1142,544,5,2,0,0,0,514,37,0,0,0,0,0,0,551,88,104,143,125,38,30,16
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Voorde Coevorden,0109::SB3,7742 VC,1305,835,2,5,0,0,0,780,62,0,0,0,0,0,0,842,146,174,134,243,64,60,14
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Zaal De Loo Coevorden,0109::SB4,7741 EJ,1919,933,10,4,0,0,0,863,84,0,0,0,0,0,0,947,122,175,147,253,120,93,23
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau BSV Tuindorp Coevorden,0109::SB5,7741 TT,1499,302,1,1,0,0,0,278,26,0,0,0,0,0,0,304,34,45,46,99,42,31,5
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Sint-Franciscus Coevorden,0109::SB6,7742 BR,1620,718,3,1,0,0,0,660,62,0,0,0,0,0,0,722,109,91,200,189,47,57,25
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Drostenhal Coevorden,0109::SB7,7742 WJ,2078,810,6,7,0,0,0,762,63,0,0,0,2,0,0,825,131,155,117,222,78,88,19
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Schutse Coevorden,0109::SB8,7741 AD,1017,389,3,1,0,0,0,364,29,0,0,0,0,0,0,393,48,98,88,99,30,19,7
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Dorpshuis De Schalm Steenwijksmoer,0109::SB9,7741 PL,766,385,2,0,0,0,0,357,30,0,0,0,0,0,0,387,49,26,132,66,29,16,67
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Dorpshuis De Breiberg Dalerpeel,0109::SB10,7753 TK,705,323,3,0,0,0,0,288,38,0,0,0,0,0,0,326,23,78,52,29,59,17,65
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Spinde Dalen,0109::SB11,7751 GC,1591,1019,2,0,0,0,0,915,106,0,0,0,0,0,0,1021,288,124,125,73,86,84,239
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Dorpshuis Boerhoorn Dalerveen,0109::SB12,7755 NR,560,299,0,4,0,0,0,274,29,0,0,0,0,0,0,303,71,23,48,19,57,23,58
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Selkersgoorn Dalen,0109::SB13,7751 CZ,1524,836,0,5,0,0,0,751,90,0,0,0,0,0,0,841,175,146,59,80,120,70,186
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Dorpshuis De Kom Wachtum,0109::SB14,7754 MA,281,201,0,0,0,0,0,185,16,0,0,0,0,0,0,201,62,17,22,10,8,19,63
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Etgaarde Oosterhesselen,0109::SB15,7861 BT,1506,1003,2,2,0,0,0,946,61,0,0,0,0,0,0,1007,147,168,137,65,55,80,351
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Het Pluspunt Gees,0109::SB16,7863 PP,746,509,0,1,0,0,0,461,49,0,0,0,0,0,0,510,108,56,173,23,30,34,85
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Tiphof Geesbrug,0109::SB17,7917 PE,1101,441,2,1,0,0,0,408,36,0,0,0,0,0,0,444,78,71,115,22,79,13,63
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau MFC De Brink Sleen,0109::SB18,7841 CE,1879,1261,2,4,0,0,0,1171,96,0,0,0,0,0,0,1267,356,187,269,28,38,137,246
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau OBS De Vlinderhof Noord Sleen,0109::SB19,7846 TA,665,451,0,1,0,0,0,410,42,0,0,0,0,0,0,452,124,58,66,14,17,39,133
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Het Ellertsveld Schoonoord,0109::SB20,7848 BP,1760,843,3,1,0,0,0,772,75,0,0,0,0,0,0,847,73,190,115,32,40,23,370
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Dorpshuis De Kiel,0109::SB21,7849 PC,312,200,0,0,0,0,0,182,18,0,0,0,0,0,0,200,18,29,21,12,6,7,107
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau d' Aol Schoelstee Wezuperbrug,0109::SB22,7853 TA,335,190,1,0,0,0,0,175,16,0,0,0,0,0,0,191,42,16,18,8,0,23,83
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Restaurant Moorman Erm,0109::SB23,7843 PJ,760,402,0,0,0,0,0,372,30,0,0,0,0,0,0,402,100,45,90,25,17,33,92
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau De Korenhof Aalden,0109::SB24,7854 NA,1720,1219,3,1,0,0,0,1111,112,0,0,0,0,0,0,1223,102,100,148,14,11,63,781
,Coevorden,GR2014_Coevorden,Gemeenteraad Coevorden 2014,0109,Coevorden,2014-03-19,Stembureau Brasserie Tramlokaal Meppen,0109::SB25,7855 PH,322,248,1,0,0,0,0,226,23,0,0,0,0,0,0,249,43,18,31,9,0,12,135
