contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Dorpsvisie,VVD,Democraten 66 (D66),De Gewone Man,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij)
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Gemeentehuis,0823::SB1,5688AK,1620,992,8,7,0,0,0,898,109,0,0,0,0,0,0,1007,265,154,161,150,53,74,135
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Basisschool De Linde,0823::SB2,5688KB,1485,889,5,3,0,0,0,823,74,0,0,0,0,0,0,897,217,145,127,137,56,58,149
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Huize St. Joris,0823::SB3,5688AS,1349,695,2,0,0,0,0,647,50,0,0,0,0,0,0,697,192,92,78,98,38,49,148
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Dorpshuis Den Deel,0823::SB4,5688KN,1541,891,7,1,0,0,0,803,96,0,0,0,0,0,0,899,233,190,137,77,111,33,110
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Basisschool de Plataan,0823::SB5,5688DB,1220,707,5,3,0,0,0,662,53,0,0,0,0,0,0,715,129,122,93,135,44,42,142
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Openbare basisschool De Korenbloem,0823::SB6,5688PG,1565,952,5,5,0,0,0,883,79,0,0,0,0,0,0,962,152,146,167,144,48,74,221
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Antoniusschool,0823::SB7,5688NM,1266,649,0,2,0,0,0,588,63,0,0,0,0,0,0,651,189,86,160,77,57,27,53
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Gemeenschapshuis Het Dorpsplein,0823::SB8,5091BE,1268,774,0,1,0,0,0,701,74,0,0,0,0,0,0,775,169,97,49,41,283,48,87
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Kantine BBoys,0823::SB9,5091EM,1476,935,3,1,0,0,0,854,85,0,0,0,0,0,0,939,174,77,79,59,373,97,76
,Oirschot,GR2014_Oirschot,Gemeenteraad Oirschot 2014,0823,Oirschot,2014-03-19,Stembureau Vestakker,0823::SB10,5091CR,1485,977,3,4,0,0,0,853,131,0,0,0,0,0,0,984,195,49,68,53,476,71,65
