contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,DorpsGoed,Plaatselijke Politieke Alliantie (PPA),CDA,Partij van de Arbeid (P.v.d.A.),De Gestelse Coalitie,Democraten 66 (D66),VVD
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Zorgcentrum De Beemden,0845::SB1,5271 BH,1583,745,1,6,0,0,0,698,54,0,0,0,0,0,0,752,84,75,132,47,308,62,37
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Zorgcentrum Nieuw Beekvliet,0845::SB2,5272 RZ,1492,716,2,5,0,0,0,650,73,0,0,0,0,0,0,723,59,59,78,46,334,98,42
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Party's & Meetings Absoluut,0845::SB3,5271 AL,1653,786,3,0,0,0,0,695,94,0,0,0,0,0,0,789,109,79,73,65,296,105,59
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Gemeentehuis,0845::SB4,5271 GC,1167,696,2,0,0,0,0,623,75,0,0,0,0,0,0,698,71,61,63,81,256,106,58
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau De Huif,0845::SB5,5271 GT,1133,724,1,1,0,0,0,662,64,0,0,0,0,0,0,726,79,47,75,37,345,86,55
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Sporthal Theereheide,0845::SB6,5271 RR,1204,766,3,3,0,0,0,690,82,0,0,0,0,0,0,772,64,49,112,38,287,116,100
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau De Kei,0845::SB7,5291 AB,1736,787,10,6,1,0,0,706,96,0,0,1,0,0,0,802,139,34,326,39,43,124,82
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau De Wegwijzer,0845::SB8,5271 XR,1722,851,1,0,0,0,0,768,84,0,0,0,0,0,0,852,399,190,94,41,36,42,49
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Herberg De Kieppekooi,0845::SB9,5271 TN,1454,532,1,1,0,0,0,469,65,0,0,0,0,0,0,534,209,128,102,23,13,29,28
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Litserborg,0845::SB10,5275 BV,1497,1114,3,5,0,0,0,1007,115,0,0,0,0,0,0,1122,575,216,139,38,24,64,58
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Vivent Berlerode,0845::SB11,5258 HH,1530,566,0,0,0,0,0,517,49,0,0,0,0,0,0,566,38,354,71,46,3,25,29
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Basisschool Theresia,0845::SB12,5258 AG,1547,907,1,3,0,0,0,824,87,0,0,0,0,0,0,911,50,459,117,77,3,89,112
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Herberg De Gouden Leeuw,0845::SB13,5258 BE,1437,522,1,0,0,0,0,476,47,0,0,0,0,0,0,523,17,304,55,31,8,53,54
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau Den Durpsherd,0845::SB14,5258 KB,1561,1293,3,1,0,0,0,1185,112,0,0,0,0,0,0,1297,98,726,152,108,12,104,93
,Sint-Michielsgestel,GR2014_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2014,0845,Sint-Michielsgestel,2014-03-19,Stembureau De Moerkoal,0845::SB15,5258 LE,1411,707,2,4,0,0,0,651,62,0,0,0,0,0,0,713,42,349,110,80,3,60,63
