contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),HAP,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Forza! Haarlemmermeer,ChristenUnie-SGP,Sociaal Rechts Haarlemmermeer (SRH),Christen-Democratische Volkspartij (CDVP),EEN Haarlemmermeer
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Raadhuis,0394::SB1,,1335,1237,2,11,0,0,0,1115,135,0,0,0,0,0,0,1250,265,144,154,242,130,106,106,20,17,27,26
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum de Nieuwe Silo,0394::SB2,,1216,443,1,3,0,0,0,388,59,0,0,0,0,0,0,447,51,45,66,99,38,46,48,16,10,14,10
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Kruiskerk,0394::SB3,,1314,661,4,12,0,0,0,607,70,0,0,0,0,0,0,677,83,92,67,134,63,65,92,29,7,18,11
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Jul. van Stolbergschool,0394::SB4,,1266,553,1,3,0,2,0,496,63,0,0,0,2,0,0,559,77,57,86,88,41,58,79,44,11,6,6
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verz. huis De Meerstede,0394::SB5,,1210,571,4,2,0,1,0,523,55,0,0,0,1,0,0,578,76,94,58,93,41,45,93,35,9,11,16
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Huurders Haarl'meer,0394::SB6,,1372,723,5,5,0,0,0,663,70,0,0,0,0,0,0,733,100,95,91,156,68,67,73,31,11,16,15
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Verz.huis 'Horizon',0394::SB7,,915,575,1,4,0,0,0,534,46,0,0,0,0,0,0,580,85,129,58,61,50,51,49,54,20,8,10
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau School de Flamingo,0394::SB8,,1224,688,2,3,0,0,0,628,65,0,0,0,0,0,0,693,81,93,115,111,85,82,50,18,16,21,16
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau Wijkcentrum De Boerderij,0394::SB9,,1471,900,1,10,0,0,0,811,100,0,0,0,0,0,0,911,134,120,114,169,71,107,101,20,13,30,21
,Haarlemmermeer,GR2014_Haarlemmermeer,Gemeenteraad Haarlemmermeer 2014,0394,Haarlemmermeer,2014-03-19,Stembureau 1e Montessorischool,0394::SB10,,1368,790,2,1,0,0,0,708,85,0,0,0,0,0,0,793,145,90,137,108,72,95,77,17,29,8,12
