contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Echt voor Albrandswaard,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Nieuwe Albrandswaardse Partij (NAP),ChristenUnie/SGP,OPA
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau OBS Valckesteyn Noord,0613::SB1,3176 VA,1977,967,13,0,0,0,0,891,90,0,0,0,1,0,0,981,233,324,95,92,69,64,90
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Cultureel centrum De Brinkhoeve,0613::SB2,3171 GG,1436,631,1,8,0,0,0,582,58,0,0,0,0,0,0,640,96,130,75,70,66,79,115
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Delta Psychiatrisch Centrum,0613::SB3,3172 AA,1145,424,1,1,0,0,0,391,35,0,0,0,0,0,0,426,86,75,62,54,54,23,70
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau FPC De Kijvelanden,0613::SB4,3172 AB,165,20,0,0,0,0,0,20,0,0,0,0,0,0,0,20,3,4,9,0,0,1,3
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Hooge Werf Zorgcentrum,0613::SB5,3171 BJ,1692,1117,3,6,0,0,0,1014,115,0,3,0,3,0,0,1129,261,249,151,118,99,105,134
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Korfbalvereniging RWA,0613::SB6,3171 DC,1170,675,5,2,0,1,0,598,83,0,0,1,0,0,0,681,127,212,67,84,42,61,82
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau OBS De Overkant,0613::SB7,3161 LG,1479,870,5,3,0,0,0,797,81,0,0,0,0,0,0,878,210,180,94,96,98,69,123
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Hervormd Centrum,0613::SB8,3161 AC,1341,709,3,2,0,0,0,650,65,0,1,0,1,0,0,715,210,165,57,90,67,40,80
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Maranathakerk Rhoon,0613::SB9,3161 HG,1433,992,1,0,0,0,0,896,97,0,0,0,0,0,0,993,223,301,60,193,70,70,75
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau De Klepperwei,0613::SB10,3161 TW,1203,862,2,2,0,1,0,790,77,0,0,0,1,0,0,867,216,170,78,96,87,39,176
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Lawn Tennis Club Rhoon,0613::SB11,3161 GM,1047,504,0,0,0,0,0,447,58,0,0,0,1,0,1,505,101,213,49,52,28,25,36
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Campus Portland,0613::SB12,3162 WD,1206,311,0,1,0,0,0,265,47,0,0,0,0,0,0,312,85,122,30,23,18,12,21
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Wijkgebouw Portland,0613::SB13,3162 WK,2664,1374,4,8,1,1,0,1214,174,0,0,0,2,0,0,1388,324,419,186,120,85,85,155
,Albrandswaard,GR2014_Albrandswaard,Gemeenteraad Albrandswaard 2014,0613,Albrandswaard,2014-03-19,Stembureau Portocabin Parels,0613::SB14,3162 VK,1275,642,2,1,0,0,0,564,81,0,0,0,0,0,0,645,167,191,50,65,41,62,66
