contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),VVD,Best Open,Partij van de Arbeid (P.v.d.A.),Jongerenpartij JO,Gemeentebelangen Best,ChristenUnie
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_1 Gemeentehuis,0753::SB1,5683 EA,1521,1329,10,6,0,0,0,1205,140,0,0,0,0,0,0,1345,407,174,211,209,77,91,120,40
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_2 Basisschool St. Bernardus,0753::SB2,5682 AC,1533,1069,4,3,0,0,0,950,126,0,0,0,0,0,0,1076,250,179,177,202,71,98,59,33
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_3 Bestwijzer,0753::SB3,5683 AK,1591,805,8,8,0,0,0,774,47,0,0,0,0,0,0,821,207,119,63,133,68,86,92,37
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_4 Basisschool De Klimboom,0753::SB4,5685 GW,1565,1042,8,2,0,0,0,928,124,0,0,0,0,0,0,1052,156,247,240,145,78,68,58,50
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_5 Basisschool De Zevensprong,0753::SB5,5683 LL,1582,900,6,4,0,0,0,838,72,0,0,0,0,0,0,910,145,200,94,189,75,98,61,38
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_6 Heerbeeck College,0753::SB6,5684 SL,1536,516,4,2,0,0,0,471,51,0,0,0,0,0,0,522,81,72,89,60,54,79,43,38
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,"Stembureau Stembureau_7 Pulz, centrum voor kunsteducatie",0753::SB7,5684 EG,1339,715,5,6,0,1,0,660,67,0,0,0,1,0,0,727,202,131,81,100,77,60,38,26
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_8 Wilhelminaschool,0753::SB8,5684 BA,1558,588,3,4,0,0,0,553,42,0,0,0,0,0,0,595,88,100,56,99,50,90,71,34
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_9 Basisschool De Heydonck,0753::SB9,5684 CG,1588,406,3,0,0,0,0,372,37,0,0,0,0,0,0,409,80,39,30,78,67,64,33,15
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_10 Sporthal Naestenbest,0753::SB10,5684 GJ,1203,287,0,0,0,0,0,267,20,0,0,0,0,0,0,287,38,51,16,48,45,44,30,15
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_11 Basisschool De Paersacker,0753::SB11,5684 TT,1584,427,1,3,0,0,0,380,51,0,0,0,0,0,0,431,59,45,35,61,32,95,75,25
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_12 Protestantse Kerk,0753::SB12,5684 VA,1632,943,3,5,0,0,0,869,82,0,0,0,0,0,0,951,153,165,89,157,69,126,121,63
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_13 Basisschool St. Antonius,0753::SB13,5685 GW,1590,958,3,7,0,0,0,848,120,0,0,0,0,0,0,968,162,171,201,153,81,90,69,31
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_14 Buurthuis Vlinderhei,0753::SB14,5685 GZ,1578,645,3,0,0,0,0,587,61,0,0,0,0,0,0,648,118,127,118,89,49,53,46,45
,Best,GR2014_Best,Gemeenteraad Best 2014,0753,Best,2014-03-19,Stembureau Stembureau_15 Knooppunt Café,0753::SB15,5683 BD,855,466,1,1,0,0,0,417,51,0,0,0,0,0,0,468,56,61,49,57,23,183,22,15
