contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Dantumadeel '82,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Lagere Lasten Dantumadiel,FNP,Staatkundig Gereformeerde Partij (SGP)
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Gemeentehuis,1891::SB1,9104 BR,1565,1103,2,2,0,0,0,977,130,0,0,0,0,0,0,1107,375,153,106,226,91,101,51
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Lokaal Doopsgezinde kerk,1891::SB2,9104 GM,1256,795,1,2,0,0,0,696,103,1,0,0,1,0,0,799,219,106,80,157,71,68,94
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,"Stembureau Stembureau Dorpshuis ""De Nije Warf""",1891::SB3,9113 PA,1456,871,3,2,0,1,0,756,121,0,0,0,1,0,0,877,204,113,66,206,56,67,159
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Nij Tjaerda,1891::SB4,9105 KA,1579,791,1,1,0,0,0,720,73,0,0,0,0,0,0,793,180,134,113,162,88,67,47
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,"Stembureau Stembureau MFC  ""De Beijer""",1891::SB5,9105 KG,904,510,2,0,0,0,0,466,46,0,0,0,0,0,0,512,216,60,41,62,42,72,17
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,"Stembureau Stembureau Herberge ""De Trochreed""",1891::SB6,9067 DN,162,135,1,0,0,0,0,119,17,0,0,0,0,0,0,136,35,38,13,12,23,12,2
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,"Stembureau Stembureau Dorpshuis  ""De Pipegael""",1891::SB7,9108 NE,1091,664,5,1,0,0,0,613,57,0,0,0,0,0,0,670,255,86,41,130,88,35,29
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,"Stembureau Stembureau Kerkelijk Centrum ""De Mienskip""",1891::SB8,9269 SW,1485,782,7,0,0,0,0,717,72,0,0,0,0,0,0,789,210,155,151,71,70,109,16
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Zorgcentrum Talma Hoeve,1891::SB9,9269 VS,1332,837,1,0,0,0,0,753,85,0,0,0,0,0,0,838,283,148,172,84,51,83,16
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Zorgcentrum Brugchelencamp,1891::SB10,9271 EP,1334,715,3,2,0,0,0,644,76,0,0,0,0,0,0,720,126,104,115,110,123,106,31
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Lokaal Chr.Geref. kerk,1891::SB11,9271 CH,1518,717,4,6,0,0,0,664,64,0,1,0,1,0,0,728,112,97,137,114,106,122,29
,Dantumadiel,GR2014_Dantumadiel,Gemeenteraad Dantumadiel 2014,1891,Dantumadiel,2014-03-19,Stembureau Stembureau Lokaal Ned.Herv. kerk,1891::SB12,9271 BP,1218,642,3,2,0,1,0,575,73,0,0,0,1,0,0,648,153,61,102,107,99,88,32
