contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,MPN-PN,CDA,VVD,Democraten 66 (D66),SGP/ChristenUnie,Samen Beter Nieuwkoop
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Kaleidoskoop,0569::SB1,2421 EX,1941,1102,2,11,0,1,0,1007,107,0,0,1,0,0,0,1114,185,143,132,191,84,367
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau De Rank,0569::SB2,2421 BE,1718,1026,2,5,0,0,0,902,131,0,0,0,0,0,0,1033,80,153,208,200,75,310
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Aar en Amstel,0569::SB3,2421 XH,1706,699,1,2,0,0,0,614,88,0,0,0,0,0,0,702,85,120,73,96,66,259
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Muziekc. Eensgezind,0569::SB4,2421 TA,1391,1055,2,1,0,1,0,943,116,0,0,0,1,0,0,1059,161,165,104,229,49,347
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau De Rietzanger,0569::SB5,2431 AD,1278,870,2,0,0,0,0,781,91,0,0,0,0,0,0,872,255,97,86,95,19,318
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau De Schutse,0569::SB6,3652 LH,994,534,1,3,0,0,0,473,65,0,0,0,0,0,0,538,47,92,66,60,108,161
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Koetshuis,0569::SB8,2461 CN,2052,1154,3,5,0,0,0,1053,109,0,0,0,0,0,0,1162,197,366,174,121,26,270
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Menken Maritiem,0569::SB9,2461 ET,1717,688,10,0,0,2,0,638,62,0,0,0,2,0,0,700,84,198,184,64,44,114
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau BS De Vosseschans,0569::SB10,2461 BA,1453,778,1,4,0,0,0,716,67,0,0,0,0,0,0,783,198,171,85,121,77,126
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau De Vlinder,0569::SB12,2461 CB,1756,1260,6,6,0,1,0,1165,106,0,0,1,0,0,0,1271,195,323,209,187,95,251
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau 't Anker,0569::SB13,2441 CN,1502,723,5,9,0,0,0,673,64,0,0,0,0,0,0,737,207,126,115,112,47,116
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau Gemeentehuis Nieuwveen,0569::SB14,2441 LE,2122,1172,3,1,0,0,0,1054,122,0,0,0,0,0,0,1176,357,182,151,141,85,256
,Nieuwkoop,GR2014_Nieuwkoop,Gemeenteraad Nieuwkoop 2014,0569,Nieuwkoop,2014-03-19,Stembureau 't Trefpunt,0569::SB16,2435 XP,1815,1018,1,2,0,0,0,914,107,0,0,0,0,0,0,1021,202,173,132,100,75,336
