contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Gemeentebelangen,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,Meedenken met Lochem (MmL)
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Verzorgingstehuis Gudula,0262::SB1,7241 AR,1599,979,5,2,0,0,0,905,81,0,0,0,0,0,0,986,134,207,128,183,166,100,61
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Gemeentehuis Lochem,0262::SB2,7241 CR,1143,565,5,3,0,0,0,515,58,0,0,0,0,0,0,573,74,98,62,132,90,78,31
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Jan Wissinkhal LTTC de Toekomst,0262::SB3,7241 CL,1942,1186,0,3,0,0,0,1081,108,0,0,0,0,0,0,1189,171,218,148,242,238,117,52
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau de Rank,0262::SB4,7242 DA,1226,961,1,2,0,0,0,963,1,0,0,0,0,0,0,964,111,185,132,192,178,114,49
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau St Josephschool,0262::SB5,7242 GV,1213,776,3,1,0,0,0,714,66,0,0,0,0,0,0,780,78,132,100,173,152,88,53
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Aula RK kerk,0262::SB6,7241 DX,1032,625,0,2,0,0,0,573,54,0,0,0,0,0,0,627,81,132,92,88,131,75,26
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau de Hoge Weide,0262::SB7,7241 GR,1595,1142,4,1,0,0,0,1036,111,0,0,0,0,0,0,1147,178,207,159,184,259,125,30
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Tusselerhof,0262::SB8,7241 KD,1020,634,0,1,0,0,0,574,61,0,0,0,0,0,0,635,110,120,105,91,118,59,31
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Brandweerkazerne,0262::SB9,7245 BL,1391,958,0,0,0,0,0,875,83,0,0,0,0,0,0,958,174,354,214,66,98,45,7
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau de Branink,0262::SB10,7245 AH,1118,828,1,1,0,0,0,751,79,0,0,0,0,0,0,830,134,406,108,57,76,39,8
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau HCR De Exelse Molen,0262::SB11,7245 VJ,932,545,0,0,0,0,0,492,53,0,0,0,0,0,0,545,84,224,84,51,50,44,8
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Gemeenschapscentrum 't Onderschoer,0262::SB12,7244 BB,1477,956,1,0,0,0,0,869,88,0,0,0,0,0,0,957,127,367,171,90,120,64,17
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Brandweerkazerne Gorssel,0262::SB13,7213 CV,1636,1155,1,2,0,0,0,1020,138,0,0,0,0,0,0,1158,203,162,179,114,289,164,44
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau klein Borkel (noodgebouw),0262::SB14,7213 CS,1615,1020,5,1,0,0,0,927,99,0,0,0,0,0,0,1026,205,121,169,120,239,129,37
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Steunpunt 't Wansinkhof,0262::SB15,7214 AH,1547,969,4,4,0,0,0,907,70,0,0,0,0,0,0,977,226,144,126,119,246,86,22
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Ons Gebouw,0262::SB16,7217 TA,1423,918,3,6,0,0,0,841,86,0,0,0,0,0,0,927,166,166,301,46,129,70,40
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Ons Huis,0262::SB17,7218 AC,1196,846,1,0,0,0,0,779,68,0,0,0,0,0,0,847,120,129,310,52,113,109,13
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau 't Spijk,0262::SB18,7211 EK,1643,918,2,7,0,0,0,845,82,0,0,0,0,0,0,927,143,77,188,122,178,143,67
,Lochem,GR2014_Lochem,Gemeenteraad Lochem 2014,0262,Lochem,2014-03-19,Stembureau Het hart,0262::SB19,7211 DM,1876,1160,6,4,0,0,0,1062,108,0,0,0,0,0,0,1170,186,119,245,126,222,211,51
