contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Senioren Hollands Kroon,Lokaal Alternatief Democratie Anders ( LADA ),Democraten 66 (D66),ChristenUnie,GROENLINKS,Progressief Hollands Kroon
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Gemeentehuis De Ontmoeting 1,1911::SB1,1761 VM,1574,733,5,4,1,0,0,662,79,0,0,1,0,0,0,741,121,120,124,178,54,70,25,18,23
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Woonzorgcomplex De Carrousel,1911::SB2,1764 GM,1123,606,1,1,0,0,0,549,59,0,0,0,0,0,0,608,147,183,45,113,40,43,23,2,10
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Café De Brug,1911::SB3,1761 JR,772,403,1,1,0,0,0,372,33,0,0,0,0,0,0,405,124,68,28,66,36,38,9,17,17
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Café Wapen van Holland,1911::SB4,1761 EB,1519,881,0,1,0,0,0,797,85,0,0,0,0,0,0,882,246,185,76,158,58,95,19,27,17
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Zwembad Den Krieck,1911::SB5,1764 HD,1408,777,4,1,0,0,0,717,65,0,0,0,0,0,0,782,179,261,70,130,33,54,24,11,15
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Wijksteunpunt Keijzershoff,1911::SB6,1761 BR,1260,794,0,4,0,0,0,738,60,0,0,0,0,0,0,798,83,106,97,327,58,43,32,28,20
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Gemeentehuis De Ontmoeting 2,1911::SB7,1761 VM,1613,703,3,2,0,0,0,654,54,0,0,0,0,0,0,708,134,114,109,162,47,73,30,22,12
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Zorgcentrum Molenweid,1911::SB8,1766 JT,1833,906,2,4,0,0,0,807,106,0,1,0,1,0,0,913,211,178,112,130,98,72,27,53,25
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Amerikaanse schoolbus,1911::SB10,,0,222,2,1,0,0,0,199,26,0,0,0,0,0,0,225,34,28,35,30,33,23,14,9,16
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Zorgcentrum Noorderlicht,1911::SB11,1777 BA,1447,1074,1,3,0,0,0,981,98,0,1,0,1,0,0,1079,96,64,82,275,410,93,15,22,17
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Ankerkerk,1911::SB12,1777 EC,1361,717,3,4,0,0,0,652,72,0,0,0,0,0,0,724,54,29,52,210,273,50,16,15,18
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Basisschool De Dentele,1911::SB13,1778 KZ,754,441,1,2,0,0,0,412,32,0,0,0,0,0,0,444,47,9,31,155,105,48,16,20,10
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Zorgcentrum Kapellehof,1911::SB14,1779 BJ,885,446,0,3,0,0,0,399,50,0,0,0,0,0,0,449,55,30,36,168,109,25,9,8,6
,Hollands Kroon,GR2014_HollandsKroon,Gemeenteraad Hollands Kroon 2014,1911,Hollands Kroon,2014-03-19,Stembureau Kantine vv Wiron,1911::SB15,1779 XM,1070,542,1,0,0,0,0,525,18,0,0,0,0,0,0,543,59,38,32,210,137,37,8,7,14
