contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Baarnse Onafhankelijke Partij,Democraten 66 (D66),GROENLINKS,ChristenUnie-SGP,L T S (Lijst Tinus Snyders)
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Gemeentehuis Baarn ing Laanstraat 1,0308::SB1,3743 BA,1452,1256,6,3,0,4,0,1146,123,0,0,0,4,0,0,1269,256,88,180,218,232,131,68,83
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Zorgcentrum Schoonoord,0308::SB2,3742 AB,1786,1041,5,2,0,0,0,962,86,0,0,0,0,0,0,1048,148,92,187,207,161,98,67,81
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Maria Koningin Kerk,0308::SB3,3742 XM,1360,779,0,4,0,1,0,715,69,0,0,0,1,0,0,784,82,87,97,177,133,74,67,62
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Guido de Bresschool ing Maatkampweg,0308::SB4,3742 TG,1290,712,2,4,0,1,0,664,55,0,0,0,1,0,0,719,85,90,84,125,104,78,68,78
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,"Stembureau Gebouw ""De Pool""",0308::SB5,3742 RL,1270,664,3,2,0,1,0,575,93,0,0,1,0,0,0,668,61,115,56,125,71,114,47,75
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Gebouw Elan,0308::SB6,3742 SJ,1514,755,1,3,0,0,0,683,76,0,0,0,0,0,0,759,128,63,87,144,129,82,67,55
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau stembureau NS Station,0308::SB7,3743 KM,1194,956,0,2,0,0,0,870,88,0,0,0,0,0,0,958,267,56,132,178,158,77,46,42
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Gebouw Brandpunt,0308::SB8,3743 KN,1262,845,3,0,0,0,0,728,120,0,0,0,0,0,0,848,286,31,96,140,158,49,37,48
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Rest. Greenfield's ingang Chopinln,0308::SB9,3741 GS,1873,876,5,1,0,0,0,780,102,0,0,0,0,0,0,882,230,46,127,154,150,59,74,36
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,"Stembureau Dorpshuis ""De Furs""",0308::SB10,3749 AA,366,227,4,0,0,2,0,202,31,0,0,0,2,0,0,233,65,21,28,12,36,26,18,21
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,"Stembureau Verzorgingstehuis ""De Blinkert""",0308::SB11,3741 BE,1400,817,1,2,0,0,0,749,71,0,0,0,0,0,0,820,108,115,121,179,111,76,69,38
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau Brandweerkazerne,0308::SB12,3741 WE,1689,1048,4,1,0,1,0,938,116,0,0,0,1,0,0,1054,178,112,115,191,172,115,71,94
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,"Stembureau Woon- en Zorgcentrum ""Santvoorde""",0308::SB13,3741 VJ,1536,795,3,1,0,0,0,715,84,0,0,0,0,0,0,799,90,100,122,151,106,86,65,75
,Baarn,GR2014_Baarn,Gemeenteraad Baarn 2014,0308,Baarn,2014-03-19,Stembureau De Speeldoos,0308::SB14,3741 TA,1432,902,2,2,0,0,0,831,75,0,0,0,0,0,0,906,127,111,115,134,173,100,56,86
