contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Aalsmeerse Belangen,VVD,PACT Aalsmeer,Het Aalsmeers Collectief,6
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Zorgcentrum Aelsmeer,0358::SB1,,2050,1346,10,6,0,0,0,1228,134,0,0,0,0,0,0,1362,367,346,345,174,57,57
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Solidoe de Dolfijn,0358::SB2,,1889,1148,2,4,0,0,0,1024,130,0,0,0,0,0,0,1154,260,298,350,164,33,43
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau De Meerlanden,0358::SB3,,1542,632,2,3,0,0,0,578,59,0,0,0,0,0,0,637,188,178,105,117,17,27
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Wijkcentrum t Baken,0358::SB4,,1554,847,4,2,0,0,0,765,88,0,0,0,0,0,0,853,254,229,112,155,56,41
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Seringenhorst,0358::SB5,,1506,586,4,1,0,0,0,540,52,0,1,0,1,0,0,592,157,141,118,89,47,34
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Ned Herv Wijkcentrum t Anker,0358::SB6,,1727,730,5,6,0,0,0,664,77,0,0,0,0,0,0,741,211,149,218,85,46,21
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Gebouw Mikado,0358::SB7,,1481,1197,11,5,0,0,0,1075,138,0,0,0,0,0,0,1213,243,226,389,252,59,28
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Buurthuis Hornmeer,0358::SB8,,1457,1033,6,7,0,0,0,960,86,0,0,0,0,0,0,1046,292,285,186,199,36,35
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau p.c.b.s. De Graankorrel,0358::SB9,,1488,961,7,4,0,0,0,876,96,0,0,0,0,0,0,972,353,227,164,152,48,17
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau r.k.b.s. Antonius,0358::SB10,,1768,991,5,6,0,0,0,891,111,0,0,0,0,0,0,1002,294,260,222,151,42,22
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Clubgebouw VZOD,0358::SB11,,1857,871,4,1,0,0,0,764,112,0,0,0,0,0,0,876,259,199,215,136,43,19
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Gezondheidscentrum Aalsmeer Oost,0358::SB12,,1695,651,5,5,0,0,0,595,66,0,0,0,0,0,0,661,155,151,166,120,40,19
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau o.b.s. Zuidooster,0358::SB13,,1816,778,5,5,0,0,0,699,89,0,0,0,0,0,0,788,141,164,278,142,29,24
,Aalsmeer,GR2014_Aalsmeer,Gemeenteraad Aalsmeer 2014,0358,Aalsmeer,2014-03-19,Stembureau Wijksteunpunt Kudelstaart,0358::SB14,,1709,528,0,3,0,0,0,475,56,0,0,0,0,0,0,531,186,140,90,75,24,13
