contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),VDB/LO,PK (Progressieve Kombinatie),VVD,Nieuw Boxmeer,Politiek Overloon,Lokale Onafhankelijke Fractie (LOF)
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau Zorgcentrum Symfonie,0756::SB1,5831 ZZ,1159,780,5,2,0,0,0,714,74,0,1,0,1,0,0,788,279,202,9,103,70,29,5,83
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau de Weijerdonck,0756::SB2,5831 JV,1251,717,7,3,0,1,0,657,69,0,0,1,0,0,0,726,222,190,2,135,81,13,3,71
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau Openbare Basisschool het Ogelijn,0756::SB3,5831 SC,1018,698,4,2,0,0,0,637,67,0,0,0,0,0,0,704,156,284,2,112,46,40,2,56
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau Kinderkenniscentrum 't Bolwerk,0756::SB4,5831 CR,1380,608,6,0,0,0,0,548,66,0,0,0,0,0,0,614,159,228,2,94,34,42,4,45
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau Wijkcentrum De Driewiek,0756::SB5,5831 VV,1341,758,3,0,0,0,0,702,59,0,0,0,0,0,0,761,135,306,5,117,37,103,4,51
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,Stembureau Restaria De Flip,0756::SB6,5831 MB,1209,1038,3,1,0,0,0,939,103,0,0,0,0,0,0,1042,188,441,5,189,78,65,6,66
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Buurthuis de Elsenhof, Sambeek",0756::SB7,5836 AN,1290,856,3,5,0,1,0,781,84,0,0,0,1,0,0,865,375,268,7,102,59,13,1,31
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau MFC Het Kruispunt, Beugen",0756::SB8,5835 AT,1337,862,7,6,0,0,0,791,84,0,0,0,0,0,0,875,172,151,0,64,39,8,1,427
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Gemhuis de Kleppenburg, Oeffelt",0756::SB9,5441 BK,1778,1295,2,0,0,3,0,1156,138,0,0,3,0,0,0,1294,97,147,1,53,43,6,2,946
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Dorpshuis de Poel, Rijkevoort",0756::SB10,5447 AW,1285,890,1,0,0,0,0,825,66,0,0,0,0,0,0,891,98,100,0,32,31,3,0,626
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Gemeenschapshuis, Vortum-Mullem",0756::SB11,5827 AL,507,348,3,2,0,0,0,304,49,0,0,0,0,0,0,353,158,95,30,23,22,9,4,7
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Café 't Trefpunt, Holthees",0756::SB12,5824 AB,368,243,2,0,0,0,0,220,25,0,0,0,0,0,0,245,21,49,91,63,15,0,0,4
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Plein 27, Maashees",0756::SB13,5823 AB,719,448,3,0,0,0,0,410,41,0,0,0,0,0,0,451,153,75,166,25,22,2,0,5
,Boxmeer,GR2014_Boxmeer,Gemeenteraad Boxmeer 2014,0756,Boxmeer,2014-03-19,"Stembureau Koningskerkje, Vierlingsbeek",0756::SB14,5821 BB,2027,1208,7,4,0,2,0,1073,148,0,0,0,2,0,0,1221,316,261,379,171,53,8,6,14
