contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Dorpsbelangen Huizen,GROENLINKS,Leefbaar Huizen,ChristenUnie,Staatkundig Gereformeerde Partij (SGP)
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Gemeentehuis,0406::SB1,1276 KB,1327,1253,6,7,0,0,0,1109,158,0,0,0,1,0,0,1267,258,231,122,180,119,109,77,99,58
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Beatrixschool,0406::SB2,1272 BP,1664,977,0,0,0,0,0,881,96,0,0,0,0,0,0,977,211,189,79,120,98,74,51,97,58
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Plankenierstheater,0406::SB3,1272 PB,852,608,0,0,0,0,0,511,97,0,0,0,0,0,0,608,322,55,26,136,28,22,6,3,10
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Voor Anker,0406::SB4,1272 KV,1573,1195,4,4,0,0,0,1090,113,0,0,0,0,0,0,1203,259,322,33,135,99,33,47,150,117
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Wijngaard,0406::SB5,1271 LP,1594,808,4,3,0,0,0,739,76,0,0,0,0,0,0,815,156,131,78,88,106,63,70,77,39
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Brassershoeve,0406::SB6,1271 RP,1695,1064,1,1,0,0,0,949,117,0,0,0,0,0,0,1066,237,240,62,127,94,60,50,84,110
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Rehobothschool,0406::SB7,1276 NA,1210,765,0,3,0,0,0,677,91,0,0,0,0,0,0,768,157,224,26,61,64,26,39,121,47
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Meentamorfose,0406::SB8,1276 CM,1325,654,0,1,0,0,0,588,67,0,0,0,0,0,0,655,79,118,90,100,80,66,60,41,20
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Bolder,0406::SB9,1276 BB,1875,938,3,0,0,0,0,860,81,0,0,0,0,0,0,941,117,216,84,108,118,61,71,100,63
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Wijkcentrum Holleblok,0406::SB10,1273 EG,1323,699,3,2,0,0,0,633,71,0,0,0,0,0,0,704,112,112,56,118,95,99,51,45,11
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Schoolgebouw Holleblok,0406::SB11,1273 EG,1181,872,0,0,0,0,0,806,66,0,0,0,0,0,0,872,135,132,96,149,98,101,85,63,13
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Schoolgebouw Amer,0406::SB12,1274 RZ,1318,552,0,0,0,0,0,519,33,0,0,0,0,0,0,552,105,79,57,73,66,73,57,33,9
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Meentkerk (rechts),0406::SB13,1274 RZ,1392,702,2,2,0,0,0,653,53,0,0,0,0,0,0,706,117,104,58,123,90,101,55,39,15
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Rustmaat,0406::SB14,1273 JS,1868,1111,2,3,0,0,0,1029,87,0,0,0,0,0,0,1116,159,177,127,208,111,119,117,72,21
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Gouden Kraal,0406::SB15,1275 AB,1748,960,0,2,0,1,0,872,91,0,0,0,1,0,0,963,132,113,92,183,156,129,78,68,9
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Wijkcentrum,0406::SB16,1274 NS,1269,506,4,2,0,0,0,481,31,0,0,0,0,0,0,512,52,47,92,87,64,84,43,34,3
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Goede Herderkerk,0406::SB17,1272 JR,1092,841,1,1,0,0,0,742,101,0,0,0,0,0,0,843,302,186,38,159,47,26,42,30,11
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Basisschool De Ark,0406::SB18,1274 KL,1899,777,1,0,0,0,0,690,88,0,0,0,0,0,0,778,103,131,77,109,103,71,80,91,12
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Surfclub Gooimeer,0406::SB19,1271 ER,1464,777,1,1,0,0,0,720,59,0,0,0,0,0,0,779,157,118,82,131,110,55,69,45,10
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Tweemaster,0406::SB20,1276 GP,1406,778,1,2,0,0,0,717,64,0,0,0,0,0,0,781,132,133,93,150,81,83,51,49,6
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Meentkerk (links),0406::SB21,1274 RZ,1066,607,3,1,0,0,0,564,47,0,0,0,0,0,0,611,122,74,42,93,83,92,57,41,3
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Schoolwoning,0406::SB22,1277 CH,1114,768,2,0,0,0,0,706,64,0,0,0,0,0,0,770,175,110,84,126,105,68,47,46,7
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau De Springplank,0406::SB23,1277 AV,821,665,0,0,0,0,0,610,55,0,0,0,0,0,0,665,185,80,56,104,118,29,44,41,8
,Huizen,GR2014_Huizen,Gemeenteraad Huizen 2014,0406,Huizen,2014-03-19,Stembureau Muziekvereniging Prinses Irene,0406::SB24,1271 AA,629,321,0,1,1,0,0,292,30,0,0,1,0,0,0,322,66,69,20,48,24,21,31,24,18
