contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),TROTS Pijnacker-Nootdorp,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Leefbaar Pijnacker-Nootdorp,Eerlijk Alternatief,ChristenUnie-SGP,Partij voor de Dieren,Gemeentebelangen
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Gemeentekantoor Pijnacker,1926::SB1,,1530,1085,4,3,0,0,0,974,120,0,0,0,2,0,0,1094,139,173,191,62,101,51,52,154,39,43,80
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Sporthal 't Baken,1926::SB2,,1453,1003,4,2,0,0,0,928,81,0,0,0,0,0,0,1009,123,164,207,35,72,67,33,138,46,30,88
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Sociaal Cultureel centrum,1926::SB4,,1828,1039,5,3,0,0,0,940,107,0,0,0,0,0,0,1047,109,234,106,63,71,41,60,180,44,34,97
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Gebouw 't Prinsesje,1926::SB5,,1721,1082,0,3,0,0,0,996,89,0,0,0,0,0,0,1085,135,308,122,44,62,40,49,136,69,27,90
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Basisschool De Schatkaart,1926::SB7,,1847,1100,6,6,0,0,0,1031,81,0,0,0,0,0,0,1112,104,210,139,48,99,79,43,151,63,58,106
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Ontmoetingskerk,1926::SB8,,1539,1077,3,2,0,0,0,964,117,0,0,1,0,0,0,1081,188,163,167,41,62,43,27,177,76,29,104
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Mariaschool,1926::SB9,,1556,861,4,0,0,0,0,776,90,0,0,0,1,0,0,866,131,144,126,42,64,39,28,138,43,31,75
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Wijkcentrum Tolhek,1926::SB10,,1232,745,1,0,0,0,0,676,70,0,0,0,0,0,0,746,126,147,108,41,55,31,34,98,18,31,56
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Infocentrum Keijzershof,1926::SB11,,1450,679,1,0,0,0,0,599,81,0,0,0,0,0,0,680,139,72,103,30,48,16,29,105,27,21,89
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB12,,420,301,2,0,0,0,0,272,31,0,0,0,0,0,0,303,56,73,47,5,4,8,3,32,28,7,38
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Kantine Meersma BV,1926::SB13,,754,342,1,0,0,0,0,308,35,0,0,0,0,0,0,343,79,98,37,13,6,4,9,32,30,6,28
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Gebouw de Keet,1926::SB14,,1129,591,3,0,0,0,0,537,57,0,0,0,0,0,0,594,70,81,82,12,45,37,14,41,61,29,119
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Sportzaal Emerald,1926::SB15,,1745,1028,3,2,0,0,0,917,116,0,0,0,0,0,0,1033,192,75,207,11,95,101,36,123,46,35,107
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Wooncentrum Emerald,1926::SB16,,1902,1075,6,2,0,0,0,945,138,0,0,0,0,0,0,1083,172,95,176,29,99,97,35,96,60,64,152
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Kerkgebouw,1926::SB17,,1695,897,0,4,0,0,0,824,77,0,0,0,0,0,0,901,117,127,156,21,58,68,49,72,85,40,104
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Hotel van der Valk,1926::SB18,,1672,751,3,1,0,0,0,657,98,0,0,0,0,0,0,755,244,88,112,22,59,19,18,46,15,30,98
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Basisschool De Winde,1926::SB19,,1502,789,0,0,0,0,0,707,82,0,0,0,0,0,0,789,115,122,116,17,75,42,30,40,9,47,176
,Pijnacker-Nootdorp,GR2014_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2014,1926,Pijnacker-Nootdorp,2014-03-19,Stembureau Parochiehuis,1926::SB20,,1702,914,7,0,0,0,0,798,123,0,0,0,0,0,0,921,232,114,150,14,82,41,34,41,27,37,142
