contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,GBK,Partij van de Arbeid (P.v.d.A.),OK(é) Partij,Welzijn-Koggenland
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Gemeentehuis De Goorn,1598::SB1,1648 JG,1662,998,3,4,0,0,0,907,98,0,0,0,0,0,0,1005,381,268,90,68,75,116
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Oeverland Spierdijk,1598::SB2,1641 LA,1314,744,3,3,0,0,0,674,76,0,0,0,0,0,0,750,344,156,68,42,46,88
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Café De Ridder,1598::SB3,1647 ME,1735,997,5,3,0,0,0,914,91,0,0,0,0,0,0,1005,191,252,77,249,177,51
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,"Stembureau Café De Rode Leeuw, Ursem",1598::SB4,1645 RN,1184,505,0,2,0,0,0,450,57,0,0,0,0,0,0,507,209,108,33,49,22,84
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,"Stembureau Dorpshuis, Zuidermeer",1598::SB5,1652 CV,496,284,3,2,0,0,0,257,32,0,0,0,0,0,0,289,118,65,21,24,26,30
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau obs De Ieveling Avenhorn,1598::SB6,1633 HE,1866,895,1,1,0,0,0,809,88,0,0,0,0,0,0,897,229,248,89,100,104,125
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Zorgcentrum Meerzicht Scharwoude,1598::SB7,1634 EE,597,363,2,0,0,0,0,337,28,0,0,0,0,0,0,365,37,77,22,33,149,45
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau NH.Kerk Oudendijk,1598::SB8,1631 DE,369,241,1,0,0,0,0,219,23,0,0,0,0,0,0,242,12,75,24,52,43,35
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Raadhuis,1598::SB9,1648 JG,1286,786,0,2,0,0,0,715,73,0,0,0,0,0,0,788,278,236,54,66,51,101
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Braken Kerkje,1598::SB11,1713 HJ,1944,738,1,0,0,0,0,691,48,0,0,0,0,0,0,739,190,174,230,73,23,48
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau obs De Kelderswerf,1598::SB12,1713 VC,1251,705,3,0,0,0,0,650,58,0,0,0,0,0,0,708,133,124,238,108,43,59
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,"Stembureau Dorpshuis ""de Oude School""",1598::SB13,1711 RK,1321,706,0,0,0,0,0,635,71,0,0,0,0,0,0,706,237,132,106,47,97,87
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Hervormde Kerk Ursem,1598::SB16,1645 VN,940,642,1,2,0,0,0,595,50,0,0,0,0,0,0,645,228,111,60,55,23,165
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Dorpshuis De Brink,1598::SB18,1713 HE,1297,1001,3,2,0,0,0,927,79,0,0,0,0,0,0,1006,394,175,247,97,33,55
,Koggenland,GR2014_Koggenland,Gemeenteraad Koggenland 2014,1598,Koggenland,2014-03-19,Stembureau Mobile Stembureau,1598::SB19,1633 ZG,0,162,0,2,0,0,164,161,3,0,0,0,0,0,0,164,89,15,6,14,5,33
