contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VZ2000 Partij voor Veiligheid en Zorg,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Gemeentehuis,0015::SB1,9861 AC,1690,1155,4,2,1,0,0,1049,112,0,0,0,0,0,0,1161,368,225,282,134,90,56
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Gebouw Irene,0015::SB2,9862 TJ,518,298,3,0,0,0,0,272,29,0,0,0,0,0,0,301,47,79,60,30,56,26
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Dorpshuis 't Kompas,0015::SB3,9866 AP,730,483,2,0,0,0,0,445,40,0,0,0,0,0,0,485,173,162,78,26,24,20
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Gebouw de Schaapskooi,0015::SB4,9861 BM,904,431,2,1,0,0,0,395,39,0,0,0,0,0,0,434,192,64,83,38,27,27
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Gebouw De Branding,0015::SB5,9863 PH,866,511,1,1,0,0,0,468,45,0,0,0,0,0,0,513,182,114,112,40,39,24
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,9864 PL,564,332,0,0,0,0,0,313,19,0,0,0,0,0,0,332,78,94,113,13,24,10
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Vrijzinnig gebouw,0015::SB7,9865 AM,431,254,0,1,0,0,0,226,29,0,0,0,0,0,0,255,45,113,27,35,16,18
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Stichting Mfc De Veste,0015::SB8,9865 TE,1406,832,5,1,0,0,0,738,100,0,0,0,0,0,0,838,115,480,81,61,65,30
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Gebouw Ons Centrum,0015::SB9,9821 PA,928,515,7,5,0,0,0,469,58,0,0,0,0,0,0,527,163,92,80,29,66,85
,Grootegast,GR2014_Grootegast,Gemeenteraad Grootegast 2014,0015,Grootegast,2014-03-19,Stembureau Dorpshuis De Rotonde,0015::SB10,9822 AA,1263,808,6,0,0,0,0,738,76,0,0,0,0,0,0,814,164,152,95,102,151,144
