contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),CDA,Burgerbelangen Enschede (BBE),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Enschede Solidair,EnschedeAnders.nl,Liberaal053,Stadspartij,Ouderen Politiek Actief ( OPA )
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Gemeentehuis,0153::SB1,,1867,1116,5,0,0,0,0,1044,77,0,0,0,0,0,0,1121,147,147,315,82,120,105,103,41,10,17,4,6,19
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Het Zeggelt,0153::SB2,,1244,782,0,2,0,0,0,724,60,0,0,0,0,0,0,784,106,120,175,53,61,109,78,31,9,21,7,2,10
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS La Res,0153::SB3,,1698,468,1,1,0,0,0,420,50,0,0,0,0,0,0,470,48,60,95,48,43,33,56,37,7,19,0,6,16
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS Freinet,0153::SB4,,1780,796,6,0,0,0,0,744,58,0,0,0,0,0,0,802,98,58,160,59,63,89,160,42,15,14,1,5,32
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau AriënsZorgpalet De Eschpoort,0153::SB5,,1657,817,0,1,0,0,0,754,64,0,0,0,0,0,0,818,110,113,75,132,102,35,77,108,11,18,4,6,26
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau De Wedemhoff,0153::SB6,,1218,475,1,0,0,2,0,448,30,0,0,0,2,0,0,478,76,58,85,47,64,22,38,25,11,17,4,5,23
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Speeltuin Hoogeland,0153::SB7,,1762,652,0,7,0,0,0,594,65,0,0,0,0,0,0,659,80,62,91,65,89,49,90,63,11,21,5,5,21
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Zuider Speeltuin,0153::SB8,,1667,1006,3,2,0,0,0,922,89,0,0,0,0,0,0,1011,152,109,123,105,161,99,136,42,11,30,6,7,25
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Medisch Spectrum Twente,0153::SB9,,1833,662,6,1,0,0,0,613,56,0,0,0,0,0,0,669,97,96,157,43,69,48,71,31,9,12,8,5,16
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Basisschool St. Jan,0153::SB10,,1992,735,3,1,0,0,0,664,75,0,0,0,0,0,0,739,126,75,127,74,75,62,96,48,6,11,3,10,22
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Saxion,0153::SB11,,2002,1133,4,3,0,0,0,1043,97,0,0,0,0,0,0,1140,158,169,319,80,81,110,92,55,14,29,10,2,14
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Stadskantoor,0153::SB12,,1638,1307,4,2,0,2,0,1215,100,0,0,0,2,0,0,1315,178,160,311,133,127,116,118,67,14,47,7,9,20
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau OBS De Lipper,0153::SB101,,1907,603,1,1,0,0,0,561,44,0,0,0,0,0,0,605,98,41,59,43,95,47,78,40,13,24,2,17,46
,Enschede,GR2014_Enschede,Gemeenteraad Enschede 2014,0153,Enschede,2014-03-19,Stembureau Servicecentrum Oost,0153::SB102,,1559,526,3,0,0,0,0,463,66,0,0,0,0,0,0,529,82,43,79,69,66,25,76,36,11,17,2,7,13
