contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Bilts Belang,CDA,SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,Partij van de Arbeid (P.v.d.A.),Beter De Bilt,GROENLINKS
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Gemeentehuis Jagtlust,0310::SB1,3721 AB,1342,991,0,0,0,0,0,903,88,0,0,0,0,0,0,991,128,234,68,87,77,11,32,126,159,69
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Brandweerkazerne,0310::SB2,3721 BD,1224,980,6,0,0,0,0,911,75,0,0,0,0,0,0,986,76,197,73,69,114,14,26,130,171,110
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Verzorgingshuis d'Amandelboom,0310::SB3,3722 BT,775,569,0,0,0,0,0,504,65,0,0,0,0,0,0,569,87,133,24,52,8,29,76,57,64,39
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Verzorgingshuis De Koperwiek,0310::SB4,3722 CA,1408,1171,1,1,0,0,0,1071,102,0,0,0,0,0,0,1173,222,252,107,172,52,7,25,96,179,59
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Dr.W. v. Everdingenschool,0310::SB5,3722 BA,1374,734,1,1,0,0,0,673,63,0,0,0,0,0,0,736,115,168,62,80,69,13,9,80,92,46
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau VvSo WVT,0310::SB6,3721 EA,1276,583,6,1,0,0,0,547,43,0,0,0,0,0,0,590,47,107,53,30,101,3,13,94,91,44
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Kunstenhuis (locatie Lichtruim),0310::SB7,3721 LH,1372,818,0,1,0,0,0,761,58,0,0,0,0,0,0,819,61,147,79,73,128,13,22,130,104,61
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau de Opstandingskerk,0310::SB8,3721 MJ,1428,896,2,3,0,0,0,813,88,0,0,0,0,0,0,901,82,263,69,90,74,9,26,101,91,91
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau HF Witte Centrum (Oostbroek),0310::SB9,3731 CL,1508,972,2,6,0,0,0,890,90,0,0,0,0,0,0,980,83,204,117,100,86,22,27,117,155,61
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Verzorgingshuis Weltevreden,0310::SB10,3731 MA,1289,733,1,0,0,0,0,681,53,0,0,0,0,0,0,734,50,181,80,71,85,12,13,70,105,66
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Gebouw van het Rode Kruis,0310::SB11,3732 BA,1782,958,5,4,0,0,0,900,67,0,0,0,0,0,0,967,94,250,97,88,83,24,39,115,103,65
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Buurthuis 't Hoekie,0310::SB12,3731 KX,1500,1110,3,0,0,0,0,1005,108,0,0,0,0,0,0,1113,127,327,75,83,89,15,19,119,133,123
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Stichting MENS De Bilt (Duiventil),0310::SB13,3732 EC,980,606,4,2,0,0,0,560,53,0,1,0,1,0,0,613,52,137,44,53,84,8,19,73,71,65
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau De Voorhof,0310::SB14,3732 EH,991,741,1,3,0,0,0,689,56,0,0,0,0,0,0,745,73,222,45,104,49,22,41,45,75,65
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau de Noorderkerk,0310::SB15,3723 DM,1235,950,0,0,0,0,0,808,142,0,0,0,0,0,0,950,340,260,34,128,9,9,10,30,99,31
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Verzorgingshuis Schutsmantel,0310::SB16,3723 KR,926,772,0,2,0,0,0,683,91,0,0,0,0,0,0,774,248,226,42,90,15,4,7,37,71,32
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Serviceflat Hobbemaflat,0310::SB17,3723 GS,1155,762,0,0,0,0,0,675,87,0,0,0,0,0,0,762,237,206,37,126,15,11,17,24,74,15
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Huize het Oosten,0310::SB18,3723 BM,1559,962,0,0,0,0,0,863,99,0,0,0,0,0,0,962,212,246,68,97,53,6,23,78,121,58
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Verzorgingshuis de Bremhorst,0310::SB19,3723 BC,1297,906,3,1,0,0,0,821,89,0,0,0,0,0,0,910,72,183,86,101,88,7,9,115,157,88
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Woonstichting SSW,0310::SB20,3721 WE,1063,525,1,2,0,0,0,482,46,0,0,0,0,0,0,528,15,62,61,48,105,1,17,91,82,43
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Dorpshuis De Vierstee,0310::SB21,3738 EB,1326,854,3,3,0,0,0,770,90,0,0,0,0,0,0,860,68,83,74,97,69,230,54,31,120,28
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Ontmoetingskerk,0310::SB22,3738 VC,1288,764,3,1,0,0,0,684,84,0,0,0,0,0,0,768,65,83,46,141,58,151,42,41,108,29
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Dienstencentrum Dijckstate,0310::SB23,3738 GR,1293,999,2,4,0,0,0,919,86,0,0,0,0,0,0,1005,92,107,64,158,76,167,67,52,189,27
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau De Groene Daan,0310::SB24,3737 RK,1458,917,4,1,0,1,0,811,112,0,0,0,1,0,0,923,191,207,45,86,35,101,30,58,88,76
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Clubhuis T.V. Hollandsche Rading,0310::SB25,3739 LD,1207,738,2,0,0,0,0,665,75,0,0,0,0,0,0,740,143,130,29,65,45,26,24,29,208,39
,De Bilt,GR2014_DeBilt,Gemeenteraad De Bilt 2014,0310,De Bilt,2014-03-19,Stembureau Dorpshuis Westbroek,0310::SB26,3615 AG,931,644,0,3,0,0,0,588,59,0,0,0,0,0,0,647,63,49,32,154,23,161,73,21,43,25
