contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),WAD'N PARTIJ Harlingen,VVD,CDA,Harlinger Belang,Democraten 66 (D66),GROENLINKS,ChristenUnie,OPA
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau De Lichtboei,0072::SB1,8861 AS,1297,903,5,3,0,0,0,829,82,0,0,0,0,0,0,911,212,49,165,87,148,107,57,30,48
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau RK Basisschool Sint Michaëlschool,0072::SB2,8861 CV,1438,976,10,3,0,0,0,913,76,0,0,0,0,0,0,989,166,82,106,133,188,148,68,42,43
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau Scholengemeenschap Simon Vestdijk (dependance),0072::SB3,8862 TL,1458,624,3,0,0,0,0,569,58,0,0,0,0,0,0,627,158,34,51,72,129,44,50,29,57
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1784,911,4,3,0,0,0,828,93,0,0,0,3,0,0,921,217,33,81,170,171,95,38,44,62
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1721,839,7,1,0,0,0,765,82,0,0,0,0,0,0,847,188,50,56,173,172,65,33,57,45
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,524,310,0,0,0,0,0,286,24,0,0,0,0,0,0,310,52,28,34,47,55,29,40,13,12
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau Wooncentrum Almenum,0072::SB7,8861 JH,1646,1000,3,2,0,0,0,899,106,0,0,0,0,0,0,1005,218,32,119,221,181,82,37,41,69
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau MCL Harlingen / De Batting,0072::SB8,8862 AJ,1217,798,2,2,0,0,0,712,90,0,0,0,0,0,0,802,178,35,110,146,119,94,33,44,39
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau Dorpshuis De Bijekoer,0072::SB9,8857 BT,386,250,0,5,0,0,0,236,19,0,0,0,0,0,0,255,41,64,22,16,41,30,24,5,7
,Harlingen,GR2014_Harlingen,Gemeenteraad Harlingen 2014,0072,Harlingen,2014-03-19,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1049,483,2,1,0,0,0,448,38,0,0,0,0,0,0,486,106,24,51,74,117,58,15,19,19
