contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),BURGERBELANGEN AMSTELVEEN,CDA,SP (Socialistische Partij),Ouderen Combinatie Amstelveen (OCA),ChristenUnie
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Kinderdagcentrum Nifterlake,0362::SB1,,1689,1599,3,4,0,0,0,1435,171,0,0,0,0,0,0,1606,386,529,204,120,93,86,100,45,36
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Go centrum,0362::SB2,,1681,956,3,4,0,0,0,877,86,0,0,0,0,0,0,963,233,215,86,85,93,72,100,42,30
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau o.b.s. Piet Hein,0362::SB3,,1681,804,1,2,0,0,0,726,81,0,0,0,0,0,0,807,221,223,105,53,49,61,55,20,17
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Groepswonen De Bietelaar,0362::SB4,,1681,501,0,0,0,0,0,450,51,0,0,0,0,0,0,501,117,123,58,34,37,38,50,30,14
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Woonzorgcentrum Nieuw Vredeveld,0362::SB5,,1681,1142,3,3,0,0,0,1042,106,0,0,0,0,0,0,1148,304,226,115,81,100,118,82,78,38
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum t Open Hof 2,0362::SB6,,1681,426,2,2,0,0,0,382,47,0,0,1,0,1,0,429,97,79,56,35,35,38,49,17,20
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum t Open Hof 1,0362::SB7,,1681,885,1,2,0,0,0,800,88,0,0,0,0,0,0,888,193,180,102,74,73,68,83,77,35
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Roelof Venemaschool dependance,0362::SB8,,1681,850,0,4,0,0,0,748,107,0,1,0,1,0,0,855,223,223,111,54,90,59,49,26,15
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijksteunpunt Pluspunt,0362::SB9,,1681,679,3,3,0,0,0,634,51,0,0,0,0,0,0,685,91,103,72,56,76,72,116,64,29
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Raadhuis,0362::SB10,,1681,1240,4,0,0,0,0,1086,158,0,0,0,0,0,0,1244,330,269,156,99,99,92,87,52,56
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Zorgcentrum t Huis aan de Poel,0362::SB11,,1681,957,7,5,0,0,0,877,92,0,0,0,0,0,0,969,184,165,87,91,103,87,114,90,36
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Woonzorgcentrum De Luwte,0362::SB12,,1681,723,1,3,0,2,0,679,50,0,0,0,2,0,0,729,185,108,51,55,82,87,71,52,32
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Paaskerk,0362::SB13,,1681,936,2,5,0,1,0,871,71,0,0,1,0,0,0,942,144,139,99,103,92,83,139,67,70
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Rode Kruis gebouw,0362::SB14,,1681,976,3,4,0,0,0,893,91,0,1,0,1,0,0,984,194,204,111,93,72,60,114,91,37
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum Noorddamcentrum,0362::SB15,,1681,856,3,2,0,0,0,755,106,0,0,0,0,0,0,861,181,177,77,60,101,86,81,57,36
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Gemeentewerf Escapade,0362::SB16,,1681,312,2,0,0,0,0,278,36,0,0,0,0,0,0,314,71,67,56,12,19,32,23,21,11
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Dorpshuis De Nesse,0362::SB17,,1681,378,2,1,0,0,0,344,37,0,0,0,0,0,0,381,68,64,65,21,36,54,29,24,17
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Cultureelcentrum Griffioen,0362::SB18,,1681,1051,23,7,0,0,0,1046,35,0,0,0,0,0,0,1081,97,472,265,85,17,24,68,3,20
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Woon- en Leefgemeenschap Middenhof 2,0362::SB19,,1681,886,4,3,0,1,0,821,74,0,1,0,2,0,0,895,167,204,76,63,116,59,97,62,42
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Schooltuinen Bankrasflora,0362::SB20,,1681,1179,2,6,0,0,0,1097,90,0,0,0,0,0,0,1187,246,226,149,131,96,74,139,71,47
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum Alleman,0362::SB21,,1681,1616,2,2,0,0,0,1483,137,0,0,0,0,0,0,1620,346,341,139,169,129,124,176,125,67
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Zorgcentrum Klaasje Zevenster,0362::SB22,,1681,1115,6,8,0,0,0,1027,102,0,0,0,0,0,0,1129,179,206,90,96,112,109,163,105,55
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau k.b.s. De Overloop 1,0362::SB23,,1681,1007,4,5,0,0,0,871,143,0,0,2,0,2,0,1014,374,238,74,51,71,100,58,10,31
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Verpleeghuis het Zonnehuis Amstelveen,0362::SB24,,1681,650,3,3,0,0,0,596,60,0,0,0,0,0,0,656,111,97,25,81,64,63,88,91,30
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum de Bolder,0362::SB25,,1681,1410,0,7,0,1,0,1301,117,0,0,0,1,0,0,1418,295,237,107,144,145,111,178,155,38
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Serviceflat De Seine,0362::SB26,,1681,930,2,3,0,0,0,862,74,0,1,0,1,0,0,936,179,133,86,90,96,82,100,127,37
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Gebouw Goedereede,0362::SB27,,1681,1253,2,8,0,0,0,1157,106,0,0,0,0,0,0,1263,211,253,111,119,169,96,156,85,53
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Vereniging Historisch Amstelveen,0362::SB28,,1681,639,1,4,0,0,0,590,54,0,0,0,0,0,0,644,109,126,56,61,81,31,101,39,35
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijkcentrum De Meent,0362::SB29,,1681,1098,1,4,0,1,0,1013,91,0,0,0,1,0,0,1104,173,220,108,98,155,66,150,91,37
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Woon- en Leefgemeenschap Middenhof 1,0362::SB30,,1681,955,3,6,0,0,0,874,90,0,0,0,0,0,0,964,196,211,91,71,115,71,111,64,25
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijksteunpunt Dignahof 2,0362::SB31,,1681,1163,4,3,0,0,0,1051,119,0,0,0,0,0,0,1170,347,223,80,79,139,93,86,74,42
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau k.b.s. De Overloop 2,0362::SB32,,1681,531,1,3,0,0,0,459,76,0,0,0,0,0,0,535,148,150,36,21,46,62,35,14,19
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Wijksteunpunt Dignahof 1,0362::SB33,,1681,953,3,4,0,1,0,862,99,0,0,0,1,0,0,961,245,195,74,71,85,103,75,78,27
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau o.b.s. De Westwijzer,0362::SB34,,1681,764,1,4,0,0,0,696,73,0,0,0,0,0,0,769,215,156,56,54,75,70,74,31,33
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Boekhandel Venstra,0362::SB35,,1681,1112,6,9,0,3,0,1026,104,0,0,0,3,0,0,1130,285,244,143,82,74,70,122,64,28
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Kruiskerk,0362::SB36,,1681,1069,0,1,0,0,0,941,129,0,0,0,0,0,0,1070,352,345,85,62,53,71,64,17,20
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Verpleeghuis het Zonnehuis Westwijk,0362::SB37,,1681,1037,1,2,0,0,0,937,103,0,0,0,0,0,0,1040,372,233,83,62,98,72,63,37,17
,Amstelveen,GR2014_Amstelveen,Gemeenteraad Amstelveen 2014,0362,Amstelveen,2014-03-19,Stembureau Gebouw Joulz Galjoen,0362::SB38,,1681,536,1,2,0,0,0,485,55,0,1,0,1,0,0,540,122,154,68,41,47,43,28,14,19
