contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beter Voor Dordt,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,CDA,ChristenUnie-SGP,Democraten 66 (D66),WEK Dordrecht,SP (Socialistische Partij),Verenigde Senioren Partij
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Stadhuis,0505::SB1,3300 AA,1471,810,2,3,0,1,0,749,67,0,0,0,1,0,0,816,227,57,89,88,38,38,113,22,118,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Stadskantoor,0505::SB2,3311 GR,1446,1147,6,10,0,2,0,1045,116,0,0,2,0,0,0,1161,273,98,99,125,86,73,203,22,134,34
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Het Praathuis,0505::SB3,3311 XN,1248,438,0,2,0,0,0,394,46,0,0,0,0,0,0,440,87,56,15,71,11,23,69,16,70,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Centrum Stapal,0505::SB4,3311 TV,1298,735,3,4,0,1,0,674,69,0,0,0,1,0,0,743,253,72,68,50,40,20,78,13,73,68
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Schoolgebouw,0505::SB5,3311 TX,1377,597,7,2,0,0,0,528,79,0,1,0,1,0,0,607,167,63,36,101,47,15,50,9,88,21
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,"Stembureau Wielborgh, het Stadswiel",0505::SB6,3311 GB,1454,649,1,1,0,0,0,585,66,0,0,0,0,0,0,651,201,50,92,54,45,25,70,9,66,37
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Schoolgebouw,0505::SB7,3311 LG,1388,713,1,1,0,1,0,641,73,0,0,1,0,0,0,714,172,69,66,69,56,47,111,15,90,18
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Kunstkerk,0505::SB8,3311 XP,1458,592,1,6,0,1,0,560,38,0,0,1,0,0,0,598,129,64,55,59,35,18,104,8,94,26
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Regiokantoor,0505::SB9,3311 RR,1471,749,0,10,0,0,0,639,120,0,0,0,0,0,0,759,192,124,56,102,50,25,78,9,93,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Schoolgebouw,0505::SB10,3312 EP,1369,657,2,1,0,0,0,578,82,0,0,0,0,0,0,660,200,54,42,64,41,62,77,16,81,20
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Stadhuis (extra),0505::SB11,3311 CT,0,660,3,4,0,0,0,613,54,0,0,0,0,0,0,667,161,47,93,64,39,37,118,12,80,9
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Schoolgebouw,0505::SB15,3312 GS,1294,1042,5,6,1,0,0,944,110,0,0,0,1,0,0,1054,340,57,59,126,87,84,133,14,114,28
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Lokalencomplex,0505::SB17,3312 RG,962,423,0,0,0,0,0,377,46,0,0,0,0,0,0,423,142,44,9,37,34,43,58,5,39,12
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Werkplaats Oost,0505::SB18,3312 CJ,1269,484,1,3,0,0,0,434,54,0,0,0,0,0,0,488,148,35,36,60,26,47,67,10,39,16
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Kerkgebouw Pinkstergemeente,0505::SB19,3312 AM,1465,578,1,3,0,0,0,527,55,0,0,0,0,0,0,582,175,36,92,15,56,61,58,12,51,22
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau De Vrije school,0505::SB20,3312 NB,1307,726,0,1,0,0,0,636,91,0,0,0,0,0,0,727,201,76,24,82,49,88,79,7,82,38
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School de Repelaer,0505::SB22,3312 LN,1569,870,2,0,0,1,0,765,106,0,0,1,0,0,0,871,242,67,46,66,79,146,108,15,72,29
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Buurthuis Staart-West,0505::SB25,3313 GE,903,338,4,0,0,0,0,303,39,0,0,0,0,0,0,342,95,61,17,27,14,39,21,6,33,25
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Wantijschool,0505::SB26,3313 GL,845,347,1,4,0,0,0,313,39,0,0,0,0,0,0,352,115,47,23,14,12,29,19,12,53,23
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau School de Regenboog,0505::SB27,3313 BN,1380,516,2,1,0,0,0,477,42,0,0,0,0,0,0,519,191,58,17,9,49,36,35,7,59,55
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Woon- en Zorgcentr. Merwelanden,0505::SB29,3313 EM,1271,647,4,5,1,1,0,580,78,0,0,0,2,0,0,658,221,127,30,15,55,28,27,16,56,72
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Zorgcentrum Thureborgh,0505::SB30,3314 JG,1410,542,3,1,0,0,0,478,68,0,0,0,0,0,0,546,151,40,28,52,42,78,55,9,53,34
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Soc. Cultureel Centrum Aksa,0505::SB33,3314 NX,1410,567,8,2,0,0,0,461,116,0,0,0,0,0,0,577,90,180,16,16,115,24,37,9,54,26
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Prinsemarij,0505::SB34,3314 JR,1345,583,4,2,0,0,0,521,68,0,0,0,0,0,0,589,152,79,30,32,68,52,42,4,76,48
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Gebouw Dorswedo,0505::SB36,3314 GR,1326,690,1,0,0,0,0,633,58,0,0,0,0,0,0,691,235,47,35,49,64,84,43,18,58,57
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Prins Bernhardschool,0505::SB37,3314 WZ,1509,598,3,4,0,0,0,536,69,0,0,0,0,0,0,605,217,41,29,21,58,84,47,2,57,42
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Het Weizigt NMC,0505::SB38,3314 BH,1540,659,0,1,0,0,0,587,73,0,0,0,0,0,0,660,169,71,37,42,73,76,79,16,77,19
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Julianakerk,0505::SB39,3314 LT,1307,609,2,3,0,0,0,513,101,0,0,0,0,0,0,614,147,124,23,47,55,106,22,5,58,22
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau De Koloriet/De Fontein,0505::SB42,3314 TN,1143,622,0,15,0,1,0,556,82,0,0,0,1,0,0,638,172,144,21,50,34,69,32,10,67,23
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau De Koloriet/De Mondriaan,0505::SB44,3314 TK,1356,361,0,2,0,0,0,310,53,0,0,0,0,0,0,363,101,82,7,34,28,27,25,3,40,14
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Buurtcentrum de Admiraal,0505::SB50,3317 BC,1319,527,1,5,0,0,0,469,64,0,0,0,0,0,0,533,191,85,27,20,27,45,28,8,53,43
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,Stembureau Speeltuin Zeehavenkwartier,0505::SB51,3317 ZV,1044,112,0,0,0,0,0,95,17,0,0,0,0,0,0,112,43,22,3,2,4,3,8,5,12,10
,Dordrecht,GR2014_Dordrecht,Gemeenteraad Dordrecht 2014,0505,Dordrecht,2014-03-19,"Stembureau Wielborgh, het Waterwiel",0505::SB52,3317 NJ,1421,564,1,1,0,0,0,495,71,0,0,0,0,0,0,566,192,84,16,15,47,25,34,10,75,66
