contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Texel 2010,VVD,CDA,Texels Belang (TB),Democraten 66 (D66),GROENLINKS,8
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Gemeentehuis,0448::SB1,,1811,1204,9,3,0,0,0,1093,123,0,0,0,0,0,0,1216,238,108,205,101,234,147,110,61
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Starkenburgh,0448::SB2,,2340,1312,4,1,0,0,0,1190,127,0,0,0,0,0,0,1317,240,160,184,117,293,116,89,113
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Verzorgingshuis De Gollards,0448::SB3,,1512,1248,7,4,0,6,0,1149,103,0,0,7,0,1,0,1252,250,172,153,138,224,140,119,52
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Het Eierlandsche Huis,0448::SB4,,651,401,8,0,0,0,0,376,33,0,0,0,0,0,0,409,51,33,123,25,90,46,18,15
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Verenigingshuis Bethel,0448::SB5,,313,240,0,0,0,0,0,213,27,0,0,0,0,0,0,240,28,25,64,21,64,15,12,11
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Dorpshuis De Waldhorn,0448::SB6,,580,462,0,1,0,0,0,411,52,0,0,0,0,0,0,463,77,31,59,34,157,54,32,18
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Dorpshuis De Hof,0448::SB7,,1066,623,0,2,0,1,0,551,73,0,0,1,0,0,0,624,56,129,218,22,91,65,32,10
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Dorpshuis De Bijenkorf,0448::SB8,,993,654,1,2,0,0,0,587,69,0,0,1,0,1,0,656,96,52,82,131,140,51,70,32
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Dorpshuis 't Skiltje,0448::SB9,,1029,651,5,4,0,0,0,588,72,0,0,0,0,0,0,660,113,60,119,55,155,70,40,39
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau Dorpshuis De Wielewaal,0448::SB10,,315,260,2,0,0,0,0,228,34,0,0,0,0,0,0,262,50,24,48,12,81,22,17,6
,Texel,GR2014_Texel,Gemeenteraad Texel 2014,0448,Texel,2014-03-19,Stembureau TESO wachtlokaal,0448::SB11,,244,188,2,0,0,0,0,174,16,0,0,0,0,0,0,190,43,13,16,26,30,18,25,17
