contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Lokaal Alert,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,Democraten 66 (D66)
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Stadhuis,0620::SB1,4132 AS,1812,1206,7,12,0,0,0,1101,125,0,1,0,1,0,0,1226,255,189,206,125,134,79,218
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Basisschool De Rank,0620::SB2,4132 CC,1901,919,4,3,0,0,0,825,101,0,0,0,0,0,0,926,146,174,203,116,57,57,166
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Zorgcentrum Hof van Batenstein,0620::SB3,4131 HA,1502,720,1,4,0,0,0,663,62,0,0,0,0,0,0,725,70,194,154,97,67,42,96
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau De Prenter,0620::SB4,4131 GZ,1747,614,5,2,0,0,0,555,66,0,0,0,0,0,0,621,56,89,160,124,45,55,85
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau De Wiekslag,0620::SB5,4133 EA,1969,962,6,4,0,0,0,840,132,0,0,0,0,0,0,972,177,165,202,113,42,63,200
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Geref.kerk De Hoeksteen,0620::SB6,4133 NB,1704,835,5,4,0,1,0,771,72,0,0,1,0,1,0,843,111,132,199,104,48,85,156
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Clubgebouw Brederodes,0620::SB7,4133 AX,1873,877,6,3,0,0,0,798,88,0,0,0,0,0,0,886,138,145,164,105,54,101,170
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Dorpshuis De Biezen,0620::SB8,4124 AK,1189,719,4,3,0,0,0,651,75,0,0,0,0,0,0,726,75,124,87,32,199,131,71
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Dorpshuis 't Knooppunt,0620::SB9,4121 EL,844,502,1,3,0,0,0,466,40,0,0,0,0,0,0,506,75,62,46,40,122,121,36
,Vianen,GR2014_Vianen,Gemeenteraad Vianen 2014,0620,Vianen,2014-03-19,Stembureau Ver.gebouw De Krooshof,0620::SB10,4122 GX,748,511,2,1,0,0,0,456,58,0,0,0,0,0,0,514,31,82,28,17,227,98,28
