contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,SP (Socialistische Partij),CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66)
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Zalencentrum, Langestraat 76",0501::SB1,3231VJ,1219,665,8,5,0,0,0,620,58,0,0,0,0,0,0,678,152,240,126,44,103
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Stadskantoor, Slagveld 36",0501::SB2,3231 AP,1696,928,6,5,1,0,0,835,105,0,0,0,1,0,0,940,249,295,139,90,155
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Scheepvrt & Transport coll, Kerkhoekstraat 1",0501::SB3,3232 AE,992,474,6,3,0,0,0,444,39,0,0,0,0,0,0,483,110,149,113,40,62
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Wooncentrum Voorne,   gebouw Vlinderhof 4",0501::SB4,,1133,638,2,1,0,1,0,579,61,0,0,1,0,0,0,640,143,173,146,67,109
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Sportcomplex Dukdalf, Reede 2a",0501::SB5,3232 CV,1380,654,10,4,0,0,0,600,68,0,0,0,0,0,0,668,137,200,154,51,112
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau 't Dijckhuis, Dijckpotingen 10",0501::SB6,3237 AK,1362,723,8,1,0,0,0,658,74,0,0,0,0,0,0,732,254,159,136,76,98
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau De Gaffelaar, Christinalaan 2",0501::SB7,3238 AD,1514,749,0,3,0,0,0,700,52,0,0,0,0,0,0,752,120,157,297,41,134
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau De Plantage, Plantageweg 4",0501::SB8,3232 LE,1988,809,9,1,0,1,0,732,86,0,0,1,0,0,0,818,240,186,213,48,122
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Wellantcollege, Anna-Hoevestraat 2",0501::SB9,3232 VC,1105,449,1,2,0,0,0,418,34,0,0,0,0,0,0,452,70,173,111,41,54
,Brielle,GR2014_Brielle,Gemeenteraad Brielle 2014,0501,Brielle,2014-03-19,"Stembureau Les Rives, Oever 1",0501::SB10,3232 GN,863,424,5,2,0,0,0,385,46,0,0,0,0,0,0,431,72,182,87,29,54
