contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democratisch Dorpsbelang,CDA,Hart voor Veghel,VVD,SP (Socialistische Partij),"Transparant, Evenwichtig, Leefbaar",Partij Oerlemans
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Stadhuis Veghel,0860::SB1,,1511,1047,7,5,0,0,0,957,102,0,0,0,0,0,0,1059,115,266,229,183,144,68,42
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Dienstencentrum De Peppelhof,0860::SB2,,1579,652,0,3,0,0,0,593,62,0,0,0,0,0,0,655,36,212,124,120,110,27,23
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Wijkgebouw De Bloemfontein,0860::SB3,,1435,554,3,3,0,0,0,493,67,0,0,0,0,0,0,560,58,78,172,62,138,31,15
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Zorgcentrum Joachim en Anna,0860::SB4,,1111,798,3,7,0,0,0,720,88,0,0,0,0,0,0,808,66,300,114,129,125,39,25
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Wijkgebouw De Magneet,0860::SB5,,1579,749,1,0,0,0,0,651,99,0,0,0,0,0,0,750,84,74,275,74,160,59,23
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Zorgcentrum AAtrium,0860::SB6,,1436,759,1,1,1,0,0,700,60,0,0,1,0,0,0,760,81,151,184,93,164,54,32
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Basisschool De Vijfmaster,0860::SB7,,1104,404,0,7,0,0,0,362,49,0,0,0,0,0,0,411,49,88,102,67,57,16,25
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Wijkgebouw De Golfstroom,0860::SB8,,1409,570,0,0,0,0,0,507,63,0,0,0,0,0,0,570,62,98,174,53,118,41,24
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Basisschool  De Uilenbrink,0860::SB9,,1361,763,3,1,0,0,0,689,78,0,0,0,0,0,0,767,54,147,189,196,102,49,26
,Veghel,GR2014_Veghel,Gemeenteraad Veghel 2014,0860,Veghel,2014-03-19,Stembureau Verpleegtehuis de Watersteeg,0860::SB10,,1195,739,2,2,0,1,0,667,77,0,0,0,1,0,0,744,63,163,184,120,123,58,28
