contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beuningen Nu & Morgen,VVD,Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Democraten 66 (D66)
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Zorgcentrum Alde Steeg,0209::SB1,6641 BG,1405,458,1,1,0,0,0,415,45,0,0,0,0,0,0,460,146,51,52,94,40,75
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Rode Kruis gebouw,0209::SB2,6641 BR,1384,941,8,2,0,0,0,857,94,0,0,0,0,0,0,951,320,100,88,212,74,147
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau School De Dromedaris,0209::SB3,6642 CM,1597,945,1,0,0,0,0,845,101,0,0,0,0,0,0,946,190,221,83,170,68,213
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau School De Peppel,0209::SB4,6642 AB,1589,968,3,0,0,0,0,861,110,0,0,0,0,0,0,971,233,145,114,147,95,234
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau School Klavervier,0209::SB5,6641 ST,1550,666,8,5,0,0,0,614,65,0,0,0,0,0,0,679,200,86,83,94,76,127
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau School De Kameleon,0209::SB6,6641 LT,1610,745,2,2,0,0,0,690,59,0,0,0,0,0,0,749,222,106,71,119,75,152
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Verpleeghuis Waelwick,0209::SB7,6644 CP,1406,748,2,0,0,0,0,673,77,0,0,0,0,0,0,750,430,64,42,77,65,70
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau MFA 't Hart,0209::SB8,6644 EA,1426,761,5,3,0,0,0,686,83,0,0,0,0,0,0,769,419,83,44,75,53,87
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Dorpshuis de Kloosterhof,0209::SB9,6551 EB,922,607,3,3,0,0,0,550,63,0,0,0,0,0,0,613,293,47,42,81,84,60
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Zorgcentrum Overmars,0209::SB10,6645 BC,759,521,3,5,0,0,0,492,37,0,0,0,0,0,0,529,258,54,67,84,34,24
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau School De Hoeven,0209::SB11,6641 WR,1367,648,3,3,0,0,0,598,56,0,0,0,0,0,0,654,170,54,83,127,68,146
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau De Leghe Polder,0209::SB12,6641 DC,1444,657,5,1,0,0,0,595,68,0,0,0,0,0,0,663,220,52,63,128,74,120
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau De Tinnegieter,0209::SB13,6641 DH,1546,782,4,4,0,0,0,719,71,0,0,0,0,0,0,790,246,78,89,85,121,163
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau Zaal 't Centrum,0209::SB14,6551 ZN,1073,458,0,0,0,0,0,421,37,0,0,0,0,0,0,458,210,44,22,54,88,40
,Beuningen,GR2014_Beuningen,Gemeenteraad Beuningen 2014,0209,Beuningen,2014-03-19,Stembureau De Paulus,0209::SB15,6645 BT,899,528,0,3,0,0,0,472,59,0,0,0,0,0,0,531,281,48,64,85,20,30
