contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,CDA,Gemeente Belang Kampen,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),Partij voor Betaalbare Betrouwbare Overheid
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Parochiecentrum Het Klooster,0166::SB1,8261 AS,1875,984,1,2,0,1,0,910,78,0,0,0,1,0,0,988,113,127,84,42,70,173,135,100,120,20
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Quintus,0166::SB2,8261 GC,1853,1241,4,7,1,0,0,1157,96,0,0,0,1,0,0,1253,159,133,64,64,80,184,216,140,180,21
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Wijkcentrum Reijersdam,0166::SB3,8262 CN,1916,1067,3,4,0,0,0,974,100,0,0,0,0,0,0,1074,118,135,139,51,127,108,69,38,233,49
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Westerkerk,0166::SB4,8262 DC,1877,987,1,4,0,1,0,896,95,0,0,1,0,0,0,991,151,169,98,68,87,98,73,32,185,26
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Myosotis,0166::SB5,8266 AB,1761,1249,1,2,0,0,0,1136,116,0,0,0,0,0,0,1252,229,187,93,114,80,138,139,103,153,13
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Stadhuis,0166::SB6,8261 DD,1676,1499,5,3,0,0,0,1326,181,0,0,0,0,0,0,1507,196,246,110,171,89,145,221,101,205,15
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Het Stroomdal,0166::SB7,8266 KL,1566,1049,3,1,0,1,0,938,114,0,0,1,0,0,0,1052,196,164,88,155,51,213,51,73,44,14
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Ommeland,0166::SB8,8262 WE,1349,814,3,1,0,1,0,731,88,0,0,0,1,0,0,819,104,174,55,49,152,50,66,27,125,12
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Het Meerrijk,0166::SB9,8265 ZD,1515,897,5,1,0,0,0,825,78,0,0,0,0,0,0,903,152,125,76,66,74,69,94,35,188,18
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Kerkelijk Centrum Open Hof,0166::SB10,8265 BB,1406,802,0,6,0,0,0,726,82,0,0,0,0,0,0,808,92,133,73,58,118,50,52,50,139,37
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Amandelboom,0166::SB11,8265 DA,1765,1046,1,4,0,1,0,948,104,0,0,0,1,0,0,1052,219,160,80,104,111,60,118,42,141,11
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Vijverhof,0166::SB12,8265 GB,1741,1159,0,5,0,0,0,1164,0,0,0,0,0,0,0,1164,220,206,94,74,126,88,119,54,151,27
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Morgenster,0166::SB13,8265 KA,1880,1198,1,1,0,0,0,1092,108,0,0,0,0,0,0,1200,236,157,108,57,98,136,123,78,186,19
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Veenhof,0166::SB14,8278 BC,590,404,0,0,0,0,0,342,62,0,0,0,0,0,0,404,93,78,18,150,3,22,21,11,5,3
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Vitree,0166::SB15,8264 PC,1834,1161,2,3,0,1,0,1036,131,0,0,0,1,0,0,1167,181,188,104,94,63,171,81,88,170,21
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Dr. Schaepmanschool,0166::SB16,8265 RG,1082,654,3,0,0,0,0,587,70,0,0,0,0,0,0,657,90,126,54,52,39,112,63,53,58,7
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Bazuinkerk,0166::SB17,8265 RL,1199,904,0,1,0,1,0,817,89,0,0,0,1,0,0,906,150,156,86,74,65,136,67,77,83,10
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Vinkehorst,0166::SB18,8271 AV,1725,1256,2,3,0,1,0,1262,0,0,0,0,1,0,0,1262,264,220,100,266,48,135,66,71,80,6
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Maarlenhof,0166::SB19,8271 TB,1616,1178,0,2,0,0,0,1062,118,0,0,0,0,0,0,1180,270,177,112,318,46,68,55,26,93,13
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Bron,0166::SB20,8271 BB,1292,825,2,4,0,0,0,745,86,0,0,0,0,0,0,831,193,132,112,202,24,35,32,14,72,9
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Hoeksteen,0166::SB21,8271 GB,1954,1550,2,2,0,0,0,1350,204,0,0,0,0,0,0,1554,420,255,108,364,37,161,61,58,73,13
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Basisschool Ichthus,0166::SB22,8271 EM,1573,1067,1,2,0,0,0,975,95,0,0,0,0,0,0,1070,315,169,98,177,28,81,59,24,102,14
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau Hervormd Verenigingsgebouw,0166::SB23,8277 AA,1472,1016,0,0,0,0,0,872,144,0,0,0,0,0,0,1016,195,118,55,493,5,85,16,14,24,11
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau N.H. Verenigingsgebouw,0166::SB24,8274 AN,660,510,0,1,0,0,0,473,38,0,0,0,0,0,0,511,181,143,27,71,14,30,11,5,23,5
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Kandelaar,0166::SB25,8275 AH,582,446,0,0,0,0,0,415,31,0,0,0,0,0,0,446,94,240,16,29,5,28,10,14,9,1
,Kampen,GR2014_Kampen,Gemeenteraad Kampen 2014,0166,Kampen,2014-03-19,Stembureau De Hoge Brink,0166::SB26,8276 AE,550,433,0,1,0,0,0,393,41,0,0,0,0,0,0,434,168,103,14,67,10,17,18,11,23,2
