contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Volendam´80,VVD,Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,LIJST KRAS,TROTS
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Stadskantoor,0385::SB1,1132 KN,1833,1376,9,4,0,1,0,1131,259,0,0,0,1,0,0,1390,348,100,24,293,95,504,12
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Basisschool De Spinmolen,0385::SB2,1132 AB,2091,1209,3,4,0,0,0,977,239,0,0,0,0,0,0,1216,310,128,13,272,75,400,11
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Basisschool De Springplank,0385::SB3,1132 BR,2253,1557,5,2,0,2,0,1300,266,0,0,0,2,0,0,1566,413,143,13,259,66,649,14
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Basisschool De Zuidwester,0385::SB4,1132 XS,1584,1098,1,5,0,0,0,948,156,0,0,0,0,0,0,1104,269,88,25,320,43,339,14
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau St. Vincentiusschool,0385::SB5,1131 BJ,1674,1043,7,0,0,0,0,904,146,0,0,0,0,0,0,1050,236,85,10,257,79,362,14
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Koninklijke Vereniging Sint Jozef,0385::SB6,1131 DX,1558,896,5,4,0,0,0,780,125,0,0,0,0,0,0,905,190,92,28,204,90,284,8
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Sint Nicolaashof,0385::SB7,1131 GT,1634,771,2,0,0,0,0,683,91,0,1,0,1,0,0,774,165,43,14,250,76,215,8
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau St. Petrusbasisschool,0385::SB8,1131 KX,1993,1440,3,2,0,1,0,1212,234,0,0,0,1,0,0,1446,417,164,18,317,64,444,16
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Tennisvereniging Dijkzicht,0385::SB9,1131 RC,2181,1269,3,2,0,0,0,1071,203,0,0,0,0,0,0,1274,356,170,44,246,88,355,10
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau OBS De Piramide,0385::SB10,1135 JE,1603,817,8,2,0,0,0,725,102,0,0,0,0,0,0,827,9,229,197,45,248,17,72
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Bibliotheek Edam,0385::SB11,1135 GP,1488,1052,6,4,0,0,0,1060,2,0,0,0,0,0,0,1062,13,336,247,61,337,16,42
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau Stadhuis,0385::SB12,1135 BK,1188,1165,2,14,0,0,0,1044,137,0,0,0,0,0,0,1181,6,318,419,34,342,10,36
,Edam-Volendam,GR2014_EdamVolendam,Gemeenteraad Edam-Volendam 2014,0385,Edam-Volendam,2014-03-19,Stembureau De Singel,0385::SB13,1135 VT,1319,734,6,2,0,0,0,653,89,0,0,0,0,0,0,742,5,216,191,32,249,8,33
