contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Algemeen Belang Zwijndrecht,P.v.d.A.,CDA,ChristenUnie-SGP,Democraten 66 (D66),GROENLINKS,Perengenootschap Zwijndrechtse Waard,Zwijndrechtse Plus Partij
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Gemeentehuis,0642::SB1,,1697,1293,6,4,0,3,0,1144,156,0,0,3,0,0,0,1300,155,267,129,170,237,144,67,36,88
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Woonzorgcentrum De Lindonk,0642::SB2,,1747,654,6,9,0,0,0,599,70,0,0,0,0,0,0,669,89,128,89,136,96,48,18,15,35
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau P.V. Steeds Sneller,0642::SB3,,1768,357,2,3,0,0,0,318,44,0,0,0,0,0,0,362,56,57,20,60,74,31,16,21,22
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Gemiva,0642::SB4,,1603,734,1,7,0,0,0,675,67,0,0,0,0,0,0,742,93,132,69,103,126,107,44,25,35
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau School De Tandem,0642::SB5,,1824,805,4,1,0,0,0,732,78,0,0,0,0,0,0,810,126,132,70,133,106,102,49,30,57
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Woonzorgcentrum Nebo,0642::SB6,,1135,782,3,3,0,0,0,711,77,0,0,0,0,0,0,788,72,69,39,111,370,75,23,10,13
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Capital Sports,0642::SB7,,1216,632,1,2,0,0,0,581,54,0,0,0,0,0,0,635,36,135,95,128,93,49,3,23,70
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Woonzorgcentrum De Lichtkring,0642::SB8,,1639,838,4,2,0,0,0,766,80,0,2,0,2,0,0,846,93,134,64,171,184,82,30,32,48
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau School De Dolfijn,0642::SB9,,1591,505,4,1,0,0,0,447,63,0,0,0,0,0,0,510,22,90,109,40,98,43,23,15,65
,Zwijndrecht,GR2014_Zwijndrecht,Gemeenteraad Zwijndrecht 2014,0642,Zwijndrecht,2014-03-19,Stembureau Wijkcentrum Xiejezo,0642::SB10,,1411,649,5,1,0,0,0,568,87,0,0,0,0,0,0,655,47,125,211,47,93,41,23,13,49
