contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Keerpunt 74,Uw Drie Kernen (U3K),CDA,Partij Samenwerking,Partij van de Arbeid (P.v.d.A.),GROENLINKS/D66,VVD,SP (Socialistische Partij)
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Gemeentehuis,0779::SB1,4941DX,1947,1090,1,0,0,0,0,975,116,0,0,0,0,0,0,1091,62,291,110,144,44,135,159,145
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Mauritsstaete I,0779::SB2,4931HV,1227,524,6,2,0,0,0,496,36,0,0,0,0,0,0,532,138,61,35,21,22,130,41,76
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau De Riethorst,0779::SB3,4931BP,1277,656,1,4,0,0,0,579,82,0,0,0,0,0,0,661,133,113,31,25,32,191,43,88
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau De Schattelijn,0779::SB4,4931AZ,1891,930,10,5,0,0,0,849,96,0,0,0,0,0,0,945,194,115,47,41,39,245,161,88
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Mauritsstaete II,0779::SB5,4931HV,1166,588,1,0,0,0,0,544,45,0,0,0,0,0,0,589,146,66,45,20,47,183,27,54
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Sport- en testcentrum Van Drunen,0779::SB6,4941XM,1463,661,2,2,0,0,0,606,59,0,0,0,0,0,0,665,32,219,62,61,54,59,73,101
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Zorgcentrum Het Hoge Veer,0779::SB7,4941KH,1615,786,2,0,0,0,0,713,75,0,0,0,0,0,0,788,48,220,146,59,53,95,87,78
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Schoolgebouw Meidoornstraat,0779::SB8,4941KX,1368,562,0,0,0,0,0,497,65,0,0,0,0,0,0,562,36,151,82,47,35,67,67,77
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau basisschool De Schoof,0779::SB9,4942AV,1673,542,4,1,0,0,0,488,59,0,0,0,0,0,0,547,27,222,47,49,31,59,70,37
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Buurthuis De Schelf,0779::SB10,4942AW,1962,1024,6,4,0,0,0,911,123,0,0,0,0,0,0,1034,78,294,81,76,64,162,126,143
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Ontmoetingscentrum,0779::SB11,4944XD,1565,889,1,0,0,0,0,797,93,0,0,0,0,0,0,890,34,159,314,115,23,120,64,60
,Geertruidenberg,GR2014_Geertruidenberg,Gemeenteraad Geertruidenberg 2014,0779,Geertruidenberg,2014-03-19,Stembureau Mobiel,0779::SB12,,100,37,0,0,0,0,0,37,0,0,0,0,0,0,0,37,3,0,13,5,3,4,4,5
