contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),CDA,SP (Socialistische Partij),ChristenUnie,Culemborg Centraal
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Stadhuis,0216::SB1,,1470,1074,7,6,0,0,0,974,113,0,0,0,0,0,0,1087,220,134,136,202,84,119,140,39
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Koningin Beatrixschool,0216::SB2,,1392,503,4,0,0,0,0,455,52,0,0,0,0,0,0,507,100,61,58,86,38,44,90,26
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Jenaplanschool 't Praathuis,0216::SB3,,1264,774,3,9,0,0,0,690,93,0,0,3,0,0,0,783,75,100,211,127,32,77,97,55
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau 't Trefpunt,0216::SB4,,1506,683,5,5,0,0,0,592,101,0,0,0,0,0,0,693,120,62,71,73,52,141,47,117
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau De Elisabethhof,0216::SB5,,1410,769,0,5,0,0,0,706,68,0,0,0,0,0,0,774,188,83,75,117,120,52,119,15
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Verzorgingshuis De Kulenburg,0216::SB6,,1816,753,3,2,0,0,0,686,72,0,0,0,0,0,0,758,127,70,70,116,101,92,126,51
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Basisschool De Palster,0216::SB7,,1747,689,7,2,0,0,0,622,76,0,0,0,0,0,0,698,109,91,62,102,57,119,111,38
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Koningin Julianaschool,0216::SB8,,1477,826,4,2,0,0,0,744,88,0,0,0,0,0,0,832,210,91,58,153,104,80,114,16
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau De Salaamander,0216::SB9,,1289,1132,12,7,0,0,0,970,182,0,0,0,1,0,0,1152,178,126,96,159,77,164,135,197
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Gandhi-soos,0216::SB10,,1411,578,5,4,0,0,0,496,91,0,0,0,0,0,0,587,84,72,30,48,30,92,92,130
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Rode Kruisgebouw,0216::SB11,,1781,1013,7,6,0,0,0,928,98,0,0,0,0,0,0,1026,249,112,129,165,88,119,118,33
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Kleurrijk Wonen,0216::SB12,,129,227,0,0,0,0,0,210,17,0,0,0,0,0,0,227,39,24,48,40,14,21,30,11
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Augustinusschool,0216::SB13,,1615,715,7,0,0,0,0,637,85,0,0,0,0,0,0,722,174,71,63,144,84,87,54,38
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau BonVie,0216::SB14,,1601,1245,3,2,0,0,0,1101,149,0,0,0,0,0,0,1250,420,98,115,187,138,118,107,62
,Culemborg,GR2014_Culemborg,Gemeenteraad Culemborg 2014,0216,Culemborg,2014-03-19,Stembureau Oranje Nassauschool,0216::SB15,,1219,573,1,0,0,0,0,508,66,0,0,0,0,0,0,574,171,35,76,100,70,37,47,37
