contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kern'75,Partij van de Arbeid (P.v.d.A.),CDA,Gemeentebelang,VVD
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Vita,0784::SB1,5121 CM,2043,982,3,3,0,0,0,901,87,0,0,0,0,0,0,988,143,116,215,389,119
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau De Boodschap,0784::SB2,5121 BC,1707,890,12,5,0,0,0,823,84,0,0,0,0,0,0,907,120,141,177,365,87
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Burg. van Mierloschool,0784::SB3,5121 HT,1556,732,1,1,0,0,0,656,78,0,0,0,0,0,0,734,84,104,179,271,94
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau School De Brakken,0784::SB4,5121 EM,2359,1207,1,2,0,0,0,1049,162,0,1,0,1,0,0,1211,186,179,263,442,137
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Sint Jozefschool,0784::SB5,5121 EG,2313,1095,9,2,0,0,0,991,115,0,0,0,0,0,0,1106,187,132,235,433,108
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Hal NS-station,0784::SB6,5121 EA,2092,1195,8,2,0,0,0,1095,110,0,0,0,0,0,0,1205,159,174,236,405,221
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Woonstichting Leystromen,0784::SB7,5121 LN,1091,460,0,3,0,0,0,422,41,0,0,0,0,0,0,463,86,49,78,156,91
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Zorgcentrum Sint Franciscus,0784::SB8,5126 GC,1868,1091,3,9,0,0,0,973,130,0,0,0,0,0,0,1103,652,142,202,35,60
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Sporthal Achter de Tuintjes,0784::SB9,5126 HA,1982,1208,9,6,0,0,0,1110,113,0,0,0,0,0,0,1223,818,85,203,13,89
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau Voormalig winkelpand de Jong,0784::SB10,5126 CB,2091,975,6,4,0,1,0,881,103,0,0,1,0,0,0,984,708,111,91,6,59
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau De Molenwiek,0784::SB11,5124 RM,1021,604,3,2,0,1,0,554,56,0,0,0,1,0,0,610,422,40,81,18,43
,Gilze en Rijen,GR2014_GilzeenRijen,Gemeenteraad Gilze en Rijen 2014,0784,Gilze en Rijen,2014-03-19,Stembureau The Chump,0784::SB12,5125 NL,282,153,1,0,0,0,0,140,14,0,0,0,0,0,0,154,77,15,39,8,14
