contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Vernieuwingsgroep,CDA,Partij van de Arbeid (P.v.d.A.),VVD
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Gemeentehuis, Schinnen",0962::SB1,6365 BK,1139,689,4,1,0,0,0,610,84,0,0,0,0,0,0,694,260,184,114,131
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Gasterie Noeber Beemden, Schinnen",0962::SB2,6365 CG,1186,756,1,7,0,0,0,661,103,0,0,0,0,0,0,764,163,425,98,70
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Kantine V.V. Puth, Puth",0962::SB3,6155 LV,798,472,0,0,0,0,0,419,53,0,0,0,0,0,0,472,123,186,51,112
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Trefputh, Puth",0962::SB4,6155 KL,810,511,5,0,0,0,0,462,54,0,0,0,0,0,0,516,136,178,74,123
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Rector Raevenhuis, Sweikhuizen",0962::SB5,6174 RT,497,369,2,1,0,0,0,334,38,0,0,0,0,0,0,372,73,177,46,73
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau MFC De Oirsprong, Oirsbeek",0962::SB6,6438 GG,1515,687,5,7,0,0,0,623,75,0,0,1,0,1,0,698,457,126,50,54
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau De Schepenbank, Oirsbeek",0962::SB7,6438 HC,1477,1150,6,5,0,0,0,1027,137,0,3,0,3,0,0,1164,747,224,71,108
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Gasterie Dobbelsteyn, Doenrade",0962::SB8,6439 AN,1021,728,7,3,0,0,0,653,85,0,0,0,0,0,0,738,166,445,44,73
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Gemeenschapshuis Oud Dorp, Amstenrade",0962::SB9,6436 CS,1113,535,4,5,0,0,0,478,66,0,0,0,0,0,0,544,285,108,69,73
,Schinnen,GR2014_Schinnen,Gemeenteraad Schinnen 2014,0962,Schinnen,2014-03-19,"Stembureau Verzorgingshuis Elvira, Amstenrade",0962::SB10,6436 AX,1041,655,7,0,0,0,0,573,89,0,0,0,0,0,0,662,378,123,71,83
