contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Berkelland,Ondernemend Berkelland (OBL),GROENLINKS,zonder aanduiding met als 1e kandidaat H. Roverts
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Gemeentehuis,1859::SB1,7271 AX,1167,891,5,3,0,0,0,810,90,0,0,0,1,0,0,900,138,131,105,96,300,71,47,3
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Zorgcentrum J.W. Andriessen,1859::SB2,7271 EZ,1268,769,1,0,0,0,0,720,50,0,0,0,0,0,0,770,89,71,91,109,330,49,23,7
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau School Noord,1859::SB3,7271 XH,1538,908,4,5,0,0,0,838,79,0,0,0,0,0,0,917,107,96,105,99,372,74,53,2
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau H.W. Heuvelschool,1859::SB4,7271 GD,1407,855,3,3,0,0,0,784,77,0,0,0,0,0,0,861,95,89,166,85,318,51,48,3
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Kiezel en Kei School,1859::SB5,7271 HD,810,480,2,1,0,0,0,445,38,0,0,0,0,0,0,483,44,54,36,47,236,26,36,1
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Dorpshuis De Zunnekamp,1859::SB6,7274 AX,1007,703,3,5,0,0,0,628,80,0,0,3,0,3,0,708,126,73,247,52,125,47,33,0
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Centrum de Klokslag,1859::SB7,7275 AH,523,383,0,2,0,0,0,355,30,0,0,0,0,0,0,385,166,35,62,26,41,28,24,1
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Kulturhus 't Stieltjen,1859::SB8,7273 SL,566,438,1,1,0,0,0,410,30,0,0,0,0,0,0,440,75,55,57,46,80,87,34,4
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Kerst Zwartschool,1859::SB9,7261 GH,1236,690,1,6,0,0,0,606,91,0,0,0,0,0,0,697,119,130,133,94,113,54,46,1
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau Wooncentrum De Bundeling,1859::SB10,7261 BE,1231,793,3,3,0,0,0,720,79,0,0,0,0,0,0,799,182,156,157,96,90,54,58,0
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau OBS De Driesprong,1859::SB11,7261 SN,1080,568,0,3,0,0,0,494,77,0,0,0,0,0,0,571,140,61,218,27,45,54,21,2
,Berkelland,GR2014_Berkelland,Gemeenteraad Berkelland 2014,1859,Berkelland,2014-03-19,Stembureau CBS Rehoboth,1859::SB12,7260 AA,1342,706,2,5,0,0,0,656,57,0,0,0,0,0,0,713,124,109,95,134,111,70,55,8
